num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11,
1, 1, 5076, 4917, 4912, 4933, 4904, 4952, 4933, 4973, 4933, 4941, 
2, 2, 12406, 13852, 14277, 14373, 14449, 14475, 14345, 14182, 14298, 14433, 
3, 3, 18740, 22436, 22588, 22014, 21942, 21782, 21626, 22249, 21726, 22421, 
4, 4, 25316, 29732, 29525, 30038, 29655, 29968, 29763, 29991, 29716, 29873, 
5, 5, 33584, 35126, 35489, 35475, 35358, 35216, 35154, 35299, 35077, 34954, 
6, 6, 40240, 39799, 39566, 39322, 39227, 39511, 39349, 39192, 39352, 39737, 
7, 7, 46668, 48578, 47969, 47775, 47379, 47549, 48235, 48405, 48410, 48243, 
8, 8, 51931, 51098, 51795, 51749, 50709, 52148, 51944, 51563, 51104, 50602, 
9, 9, 58523, 57320, 56635, 56781, 56221, 56349, 56453, 56609, 57556, 57164, 
10, 10, 62154, 60371, 59991, 60211, 56555, 56740, 61131, 59563, 59836, 60423, 
11, 11, 66699, 67199, 67162, 67890, 66800, 66895, 66435, 66351, 65013, 66620, 
12, 12, 69827, 68758, 70326, 66806, 65295, 64821, 64301, 64381, 64886, 65728, 
13, 13, 65044, 65578, 65587, 65754, 65096, 65339, 66763, 66842, 65687, 65736, 
14, 14, 83332, 72349, 69564, 68770, 68689, 68765, 68692, 69248, 69027, 69057, 
15, 15, 80766, 74243, 75645, 77244, 74750, 73884, 74183, 76854, 74636, 74098, 
16, 16, 85560, 78024, 76080, 75991, 76305, 77305, 76023, 78627, 78116, 76861, 
17, 17, 89460, 80717, 81469, 78270, 76017, 73853, 74217, 77264, 76205, 77562, 
18, 18, 79021, 79169, 76498, 77862, 79410, 79665, 78848, 80373, 79819, 80524, 
19, 19, 92456, 79488, 77190, 77899, 75039, 78195, 77583, 76668, 78013, 77786, 
20, 20, 84271, 80392, 79213, 78941, 77636, 79917, 78423, 79716, 77147, 78479, 
21, 21, 84232, 80042, 82824, 81579, 81097, 80762, 79264, 81223, 79536, 81412, 
22, 22, 96900, 80120, 79760, 83155, 80046, 79623, 77136, 76220, 73210, 73097, 
23, 23, 81680, 80390, 82520, 84223, 84317, 80874, 81943, 83003, 82846, 83012, 
24, 24, 99790, 92977, 94607, 93189, 95781, 95306, 93069, 89669, 89807, 86561, 
25, 25, 77355, 76932, 76569, 77054, 75457, 75081, 74015, 76013, 72607, 75874, 
26, 26, 94781, 75947, 74643, 74161, 74870, 75302, 75271, 76751, 76397, 76835, 
27, 27, 75994, 73144, 73395, 73952, 73449, 73773, 74393, 73731, 74810, 74535, 
28, 28, 72628, 74017, 70503, 73845, 74250, 74387, 73810, 73836, 75034, 77818, 
29, 29, 99071, 82181, 78676, 79745, 81263, 80793, 79816, 79360, 80376, 80015, 
30, 30, 100612, 91998, 87259, 87841, 87191, 87037, 85278, 84668, 83553, 83126, 
31, 31, 75146, 72149, 74231, 73840, 74035, 73598, 74202, 73653, 72948, 72523, 
32, 32, 76311, 74178, 75304, 75917, 76180, 75396, 75333, 75151, 76615, 76876, 
