num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 5351, 4950, 4957, 4984, 5001, 4985, 5043, 5577, 6134, 6021, 
2, 13273, 13814, 13740, 14287, 14647, 14527, 13406, 13746, 13871, 14024, 
3, 20932, 23506, 23461, 23604, 23684, 23412, 23685, 23032, 22937, 23376, 
4, 27592, 29403, 29857, 30451, 30406, 30064, 29373, 29715, 29627, 29899, 
5, 33499, 34946, 36797, 36343, 36395, 36793, 37004, 36268, 36760, 36422, 
6, 36302, 36879, 36934, 37222, 37418, 37850, 37892, 37281, 37409, 37413, 
7, 46495, 47961, 45908, 44975, 44954, 44646, 44584, 44827, 44681, 44830, 
8, 53889, 51002, 46354, 46463, 47468, 50515, 50566, 50060, 50368, 50712, 
9, 51560, 51148, 51979, 52009, 52283, 53013, 53064, 52280, 51965, 51578, 
10, 61757, 60914, 60781, 61475, 62057, 62073, 61807, 61903, 62028, 63114, 
11, 60343, 58910, 58531, 59312, 60935, 60736, 62501, 62810, 61165, 61480, 
12, 59591, 58907, 65606, 65435, 65158, 63286, 63402, 63123, 62843, 63101, 
13, 65650, 64700, 65722, 65414, 56820, 58979, 58425, 59060, 59094, 57705, 
14, 68366, 65372, 63176, 60903, 61749, 68908, 66140, 62667, 71917, 70705, 
15, 85764, 80125, 74395, 74704, 76451, 76328, 75896, 76743, 78041, 81002, 
16, 87531, 76226, 73145, 72618, 71178, 68020, 70171, 73396, 72837, 73485, 
17, 80526, 76589, 75358, 75690, 75796, 75427, 75313, 75673, 75847, 76155, 
18, 91737, 95066, 85923, 86936, 88901, 89057, 89850, 92315, 87083, 83861, 
19, 99672, 95864, 93721, 85760, 80213, 83754, 83734, 82511, 85243, 81873, 
20, 83350, 81902, 81792, 81780, 81998, 82527, 82653, 82849, 83170, 82748, 
21, 95183, 89245, 88879, 88863, 87770, 89123, 88916, 85752, 85435, 84307, 
22, 106147, 96738, 98238, 99840, 100619, 100047, 98919, 100217, 104608, 100856, 
23, 101537, 95058, 90451, 89447, 88412, 88762, 92679, 89392, 93109, 97585, 
24, 84836, 85247, 83742, 82633, 84844, 82643, 80311, 83825, 86499, 84889, 
25, 107814, 91816, 98170, 90981, 86367, 90999, 93074, 92861, 95314, 95039, 
26, 97501, 88854, 93338, 94648, 101436, 97878, 93817, 91045, 97549, 94136, 
27, 87104, 87192, 83891, 85861, 86397, 86599, 87009, 88009, 90086, 94491, 
28, 117672, 103802, 103276, 100128, 101124, 95834, 95247, 96105, 97172, 96983, 
29, 96593, 91048, 92675, 90609, 87720, 87549, 85611, 82629, 80359, 81451, 
30, 83017, 84361, 86302, 85174, 88546, 88414, 88506, 88666, 88986, 87759, 
31, 86804, 85439, 84385, 84541, 84575, 85939, 84249, 84802, 84409, 86811, 
32, 111947, 108948, 102985, 106067, 91768, 93745, 94957, 93222, 95331, 93798, 
