num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 5528, 6102, 6094, 6228, 6383, 6405, 6200, 6282, 6032, 6046, 
2, 11875, 12655, 13428, 13693, 13829, 12989, 13028, 11896, 12112, 11874, 
3, 16879, 18331, 18019, 18666, 17185, 17583, 17694, 17872, 18414, 16801, 
4, 22795, 23267, 23543, 23767, 23410, 23857, 23117, 23498, 23532, 24329, 
5, 28159, 29446, 29743, 29530, 29407, 29363, 29554, 29527, 29226, 29200, 
6, 30839, 31379, 31962, 32253, 31944, 32210, 32033, 32087, 32497, 32507, 
7, 36274, 36974, 37248, 38096, 38230, 37281, 37482, 36670, 36936, 36771, 
8, 35575, 35559, 35791, 36085, 36102, 36057, 35513, 36088, 36060, 35772, 
9, 43824, 42054, 41001, 41050, 41816, 41840, 41865, 41470, 41693, 41900, 
10, 44696, 42944, 43082, 42844, 43212, 43219, 43847, 43348, 44322, 43800, 
11, 48322, 47532, 47965, 47180, 47418, 48109, 48716, 47855, 47890, 48769, 
12, 49291, 47564, 46371, 45275, 45152, 44995, 44667, 45221, 45475, 46882, 
13, 50449, 46249, 43962, 40906, 46581, 47734, 47240, 46812, 44087, 43682, 
14, 50157, 45020, 44296, 43443, 43727, 44296, 43191, 44266, 46496, 47911, 
15, 44752, 42174, 40956, 41707, 41631, 40919, 40966, 40158, 41569, 42003, 
16, 51370, 45010, 46519, 47244, 46854, 46283, 46642, 47848, 49149, 48530, 
17, 43626, 43651, 43107, 42844, 43019, 43285, 43389, 43617, 43873, 43707, 
18, 48037, 43431, 43702, 43586, 43009, 42070, 41497, 41124, 41050, 42106, 
19, 45246, 43320, 43547, 43112, 42900, 42972, 43459, 43629, 44012, 44003, 
20, 50349, 46207, 45967, 44793, 44476, 44309, 43673, 43120, 43910, 45312, 
21, 45773, 45196, 45701, 45258, 45258, 44273, 43458, 44100, 44901, 43373, 
22, 45623, 41398, 41176, 40624, 40376, 41486, 40595, 40811, 40946, 41299, 
23, 46614, 43549, 43301, 43062, 42724, 42199, 42401, 42584, 42572, 42669, 
24, 51475, 44454, 45528, 46265, 46596, 46326, 46192, 44870, 44893, 44425, 
25, 50719, 43966, 43600, 43507, 43634, 43630, 43762, 43824, 43658, 43970, 
26, 40859, 40529, 40651, 42802, 41752, 41966, 41891, 42788, 42902, 43597, 
27, 47154, 44032, 44357, 43589, 43518, 42667, 42287, 42395, 42496, 42749, 
28, 51434, 45955, 46042, 45964, 45556, 44777, 44379, 44075, 43681, 43614, 
29, 47841, 45719, 44306, 42278, 42160, 43276, 42573, 42142, 42621, 42146, 
30, 40933, 39800, 39780, 39713, 41531, 42626, 41934, 41391, 41716, 41368, 
31, 47646, 44043, 43535, 42954, 43182, 43249, 42550, 42486, 41752, 41738, 
32, 49614, 45074, 45139, 45397, 45233, 45623, 45175, 44906, 43544, 43111, 
