num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 
2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 
3, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 
4, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 
5, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 
6, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 
7, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 
8, 13, 12, 12, 12, 12, 12, 12, 12, 12, 12, 
9, 13, 12, 25, 12, 12, 12, 12, 12, 12, 12, 
10, 12, 12, 12, 12, 12, 12, 25, 12, 12, 12, 
11, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 
12, 12, 12, 12, 25, 12, 12, 12, 12, 12, 12, 
13, 12, 12, 12, 12, 12, 12, 24, 12, 12, 12, 
14, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 
15, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 
16, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 
17, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 
18, 12, 12, 12, 12, 12, 24, 12, 12, 12, 12, 
19, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 
20, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 
21, 12, 12, 12, 12, 12, 23, 12, 12, 12, 12, 
22, 12, 12, 24, 12, 12, 12, 12, 12, 12, 12, 
23, 12, 12, 24, 12, 12, 12, 12, 12, 12, 12, 
24, 12, 12, 12, 12, 12, 12, 12, 24, 12, 12, 
25, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 
26, 12, 12, 12, 12, 12, 23, 12, 12, 12, 12, 
27, 12, 12, 12, 12, 12, 12, 24, 12, 12, 12, 
28, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 
29, 12, 12, 12, 12, 12, 12, 12, 12, 24, 12, 
30, 12, 12, 12, 12, 12, 24, 12, 12, 12, 12, 
31, 12, 12, 12, 12, 12, 12, 12, 12, 12, 24, 
32, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 
