num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 
2, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 
3, 38, 37, 37, 37, 37, 37, 37, 75, 37, 37, 
4, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 
5, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 
6, 37, 37, 37, 37, 37, 74, 37, 37, 37, 37, 
7, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 
8, 37, 37, 37, 37, 36, 36, 36, 36, 36, 36, 
9, 37, 36, 36, 37, 36, 36, 36, 36, 36, 36, 
10, 37, 37, 36, 36, 37, 74, 37, 36, 36, 36, 
11, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36,
12, 37, 37, 36, 36, 36, 36, 36, 36, 36, 36, 
13, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 
14, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 
15, 37, 36, 36, 36, 36, 36, 36, 36, 73, 36, 
16, 36, 36, 36, 36, 36, 71, 36, 72, 36, 36, 
17, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 
18, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36,
19, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 
20, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 
21, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 
22, 37, 36, 36, 36, 36, 36, 73, 36, 36, 36, 
23, 37, 36, 36, 73, 36, 36, 36, 36, 36, 36, 
24, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36,
25, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 
26, 37, 36, 36, 36, 36, 36, 73, 36, 36, 36, 
27, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 
28, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 
29, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 
30, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 
31, 37, 36, 36, 36, 36, 36, 36, 36, 73, 36,
32, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 
