num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, 
1, 5949, 6301, 6581, 6515, 7091, 5916, 6681, 7083, 6940, 6330, 
2, 16281, 15536, 15833, 15660, 15679, 15803, 16113, 15878, 15779, 15879, 
3, 19360, 24010, 25070, 24600, 24685, 24117, 24240, 24583, 24864, 24557, 
4, 30230, 31737, 31902, 31773, 31686, 31692, 31633, 31542, 31579, 31655, 
5, 31037, 38830, 39236, 39104, 39027, 39053, 38772, 38648, 38770, 38422, 
6, 43656, 45269, 45649, 45649, 45492, 45340, 45522, 45283, 45190, 45068, 
7, 45703, 52522, 52663, 52459, 52761, 49800, 49615, 49326, 49439, 50246, 
8, 56101, 56121, 55955, 55932, 55755, 55748, 55875, 56235, 56102, 56245, 
9, 61903, 61823, 61737, 61487, 68544, 68519, 68963, 67742, 68294, 68176, 
10, 63545, 63682, 64039, 63927, 63639, 64251, 64701, 64522, 64510, 64484, 
11, 69692, 71376, 71570, 71189, 71789, 72272, 72044, 71234, 71389, 70857, 
12, 74110, 75100, 74898, 74661, 73913, 73458, 73872, 74788, 74373, 74362, 
13, 69103, 71672, 73175, 73319, 72998, 72321, 73014, 73454, 73704, 73840, 
14, 88287, 84319, 84862, 83032, 83848, 83817, 83716, 83089, 83106, 83151, 
15, 87013, 80233, 74522, 74515, 87824, 87298, 87393, 87440, 87786, 87514, 
16, 96007, 94079, 94971, 94617, 94258, 104771, 106507, 83243, 74292, 93764, 
17, 97766, 90227, 91597, 92076, 92545, 92351, 91966, 91698, 91786, 91957, 
18, 99837, 99255, 99359, 97590, 97056, 97231, 97984, 97292, 96791, 97979, 
19, 99914, 97841, 95079, 95503, 93502, 98504, 98755, 95835, 96515, 97411, 
20, 101904, 99272, 94635, 87915, 97405, 100879, 93542, 93500, 100338, 95443, 
21, 103445, 101044, 99606, 100860, 101390, 98451, 97439, 99169, 100762, 101048, 
22, 109692, 107611, 108243, 108624, 94444, 89368, 92356, 89460, 89960, 90636, 
23, 115065, 111927, 110895, 110623, 108979, 108169, 110382, 110525, 112320, 111052, 
24, 115547, 102941, 100715, 101106, 100429, 104054, 107158, 106583, 106440, 106674, 
25, 104854, 98857, 97765, 97586, 99252, 97399, 97842, 97828, 98911, 97828, 
26, 120682, 96000, 94783, 93316, 91097, 91871, 92810, 93711, 93424, 93028, 
27, 110529, 102976, 102476, 102864, 103595, 102277, 104170, 104116, 105009, 102694, 
28, 107181, 104339, 101925, 99602, 100015, 99900, 100894, 100742, 100984, 99748, 
29, 113207, 108153, 108531, 108149, 107030, 103226, 104766, 105918, 107619, 106962, 
30, 119895, 113776, 114074, 112958, 112652, 112750, 113692, 111940, 111747, 112125, 
31, 120475, 114484, 113024, 104533, 108200, 107208, 112205, 112276, 112299, 111620, 
32, 118348, 105001, 104719, 103158, 103765, 103606, 103324, 103693, 102687, 102905, 
33, 119139, 111038, 111089, 110859, 110213, 110508, 110491, 109103, 109741, 109962, 
34, 109844, 103557, 102571, 100425, 99075, 98388, 98825, 97581, 97033, 98376, 
35, 112192, 105447, 105304, 106125, 105928, 106164, 107628, 107539, 107927, 107635, 
36, 120118, 114189, 111848, 109814, 110687, 110118, 109944, 108412, 107633, 107704, 
37, 124585, 91685, 92102, 91230, 91405, 91419, 93374, 94218, 91563, 91580, 
38, 116670, 108738, 103270, 103635, 103581, 102783, 101023, 101973, 101930, 101664, 
