num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60, value61, value62, value63, value64, value65, value66, value67, value68, value69, value70, value71, value72, value73, value74, value75, value76, value77, value78, value79, value80, value81, value82, value83, value84, value85, value86, value87, value88, value89, value90, value91, value92, value93, value94, value95, value96, value97, value98, value99, value100, 
1, 82666, 76566, 69579, 62395, 49720, 60878, 71753, 72976, 73302, 72948, 71437, 73110, 74111, 66249, 65110, 66084, 65048, 65108, 65311, 65920, 65714, 65457, 65800, 65465, 68649, 70775, 70322, 71440, 71278, 71347, 70433, 69853, 70233, 70931, 70784, 70658, 70363, 71466, 70696, 72364, 70990, 73008, 72345, 70946, 71709, 71470, 71364, 71111, 71905, 71863, 72558, 72032, 72029, 69925, 70941, 72108, 70310, 70537, 70376, 71486, 66871, 66268, 66628, 66177, 66056, 66318, 66398, 66653, 65641, 65425, 65666, 66546, 66172, 65583, 66088, 66731, 65434, 65058, 65722, 66331, 66043, 66418, 66394, 66638, 66419, 65303, 66263, 66424, 65987, 65496, 66235, 66494, 66286, 65524, 65744, 66309, 66167, 65474, 65135, 66158, 
2, 116702, 114460, 114763, 114289, 113412, 115049, 116826, 116256, 116101, 115432, 116333, 115847, 113658, 113171, 114058, 113890, 116594, 115158, 115533, 117672, 120293, 120250, 121120, 115738, 108707, 109113, 109918, 109284, 109792, 108600, 109996, 110082, 109969, 108979, 109090, 109444, 108892, 147293, 148265, 146604, 147490, 146969, 148039, 139934, 112580, 113360, 113748, 113507, 112668, 112955, 113668, 113598, 112397, 112797, 112984, 112989, 112813, 111905, 112505, 112633, 112063, 111222, 112068, 112392, 109073, 105173, 105118, 105497, 105473, 112914, 113429, 112170, 112721, 112393, 112664, 92484, 88655, 87921, 88478, 95164, 107523, 106230, 107605, 107866, 107219, 106613, 107366, 106929, 106002, 106646, 106777, 107572, 106261, 105485, 106873, 106745, 105905, 104310, 110458, 115224, 
3, 126152, 123458, 123870, 122970, 124458, 128155, 129460, 129622, 129830, 128192, 129104, 126601, 126636, 125982, 126401, 126155, 114131, 112237, 124189, 124256, 124101, 124105, 124251, 124334, 124068, 124127, 124110, 124109, 123789, 124180, 123898, 167197, 167605, 131914, 129156, 129317, 129556, 129489, 129232, 128838, 127750, 127194, 126927, 127331, 126979, 127191, 127526, 148710, 179657, 179953, 179732, 182107, 132428, 128737, 128806, 129130, 130139, 129612, 128634, 128798, 128010, 128501, 128793, 129040, 131649, 133030, 132346, 132375, 132473, 132102, 132259, 130953, 129840, 129556, 129966, 131202, 132637, 131743, 132695, 132178, 131559, 132065, 132585, 132502, 132432, 132132, 131584, 129408, 129826, 129178, 129759, 129772, 129890, 129630, 129954, 129789, 129741, 129386, 129722, 129842, 
4, 168610, 157048, 155157, 159976, 159925, 159164, 160795, 160518, 158218, 158446, 160396, 159062, 156805, 156454, 156034, 156411, 156012, 155908, 154195, 154329, 155181, 155613, 156002, 156581, 156432, 156280, 154950, 154862, 154557, 155306, 155490, 156105, 156329, 155036, 155091, 155589, 158330, 157897, 156139, 155631, 155016, 155458, 155376, 157729, 157151, 157209, 157350, 157792, 157153, 156913, 157572, 157725, 157022, 157349, 159529, 161062, 159482, 132793, 132513, 162261, 162295, 161665, 159279, 159672, 159467, 159926, 168726, 150938, 150870, 151340, 151204, 151003, 151231, 150780, 150725, 150727, 150945, 150613, 150675, 151012, 151140, 151138, 150750, 150831, 150559, 150915, 160770, 161985, 160548, 160431, 160726, 160391, 160436, 162164, 160348, 159404, 159590, 152361, 130733, 131372, 
5, 175888, 172218, 172115, 172428, 179369, 179227, 178773, 180043, 171146, 171727, 169969, 169707, 171641, 172427, 146905, 146518, 146503, 150572, 169609, 152402, 148444, 149371, 149774, 148138, 148419, 148747, 154889, 169630, 169223, 169300, 169737, 169575, 169137, 170199, 170182, 170305, 161312, 169483, 169392, 170104, 169895, 170095, 169660, 168377, 167990, 174475, 174149, 170230, 169440, 168929, 169132, 179760, 177946, 171724, 167922, 166288, 166333, 166042, 164904, 165072, 164891, 148999, 144215, 144311, 144645, 144709, 144525, 145069, 144434, 144118, 143686, 143733, 143526, 143525, 143562, 143604, 143447, 144660, 144349, 144536, 145386, 145577, 145298, 147269, 147881, 147721, 147974, 158814, 185260, 180156, 177805, 177941, 177723, 173151, 148226, 169592, 169883, 182631, 183943, 183834, 
6, 212695, 190985, 190011, 192386, 193134, 190844, 190772, 189988, 188375, 192464, 193379, 192607, 188812, 185538, 190583, 189502, 188887, 188800, 188346, 188784, 191081, 189668, 189612, 240312, 191270, 194949, 190224, 223666, 224163, 186333, 186576, 186887, 202123, 219049, 190436, 190388, 190542, 190139, 190042, 190317, 190072, 190892, 191137, 192040, 189555, 191573, 189307, 189624, 190671, 185495, 182180, 192147, 193589, 192833, 192203, 223860, 190952, 191315, 191567, 191385, 192556, 190957, 192389, 206935, 219740, 185161, 188414, 190472, 189752, 200660, 191855, 192732, 193415, 226332, 190137, 191664, 189426, 188038, 188191, 206716, 185771, 185649, 185850, 187727, 192030, 188480, 188856, 189194, 188590, 242636, 249676, 250419, 251220, 252050, 252031, 252469, 253005, 227437, 169940, 156285, 
7, 207375, 193128, 192581, 192609, 192628, 192446, 192185, 206083, 200622, 184031, 154206, 235567, 255512, 256459, 190627, 197951, 190341, 188482, 216741, 231036, 188037, 189052, 198657, 176632, 156827, 197948, 205868, 205311, 205838, 205202, 203700, 199341, 205295, 205559, 205698, 205278, 206629, 206510, 205146, 205674, 205192, 204101, 203794, 205473, 204960, 203545, 203741, 204039, 204309, 204559, 203928, 204633, 203812, 203922, 204851, 203633, 204760, 205259, 206172, 204558, 205400, 204913, 204982, 206680, 204030, 203588, 203669, 204052, 204151, 203091, 202234, 201153, 204280, 203699, 204852, 202376, 201080, 203326, 203956, 204792, 203666, 204450, 203446, 206783, 219026, 201818, 204821, 204504, 206224, 210470, 210328, 210764, 211303, 208112, 193815, 193812, 192888, 193048, 193626, 193325, 
8, 215622, 205759, 192948, 206135, 202414, 204138, 209657, 195655, 188367, 188347, 203272, 158147, 151487, 151802, 198686, 196197, 156834, 206648, 210361, 210204, 210413, 208592, 208800, 206275, 206121, 207823, 207259, 202449, 204807, 206729, 209532, 209905, 186326, 145725, 149531, 151325, 151023, 182686, 190551, 190924, 191411, 156151, 151135, 170392, 193281, 193619, 192831, 192955, 170961, 157503, 157537, 186624, 192513, 156233, 157302, 156249, 156429, 156913, 156811, 154849, 154092, 156582, 156055, 156684, 156077, 154314, 156386, 156936, 156276, 156587, 189619, 201024, 194012, 206304, 210866, 210124, 209829, 211876, 159653, 189763, 190472, 190377, 189886, 190008, 155895, 158257, 156094, 154172, 157351, 181286, 191007, 190227, 190339, 191094, 191231, 191149, 188529, 186768, 186721, 186952, 
9, 218302, 194653, 209154, 211588, 191478, 208373, 209308, 209434, 208971, 210704, 211324, 211459, 190371, 196881, 216173, 218859, 218246, 218716, 218676, 217540, 213382, 211760, 225485, 175502, 209135, 248050, 257398, 204404, 185802, 191565, 198214, 186199, 185841, 194947, 197402, 194175, 201699, 203297, 206560, 207972, 207664, 207673, 155858, 151508, 151357, 150891, 151262, 151067, 151189, 150808, 148370, 146896, 150911, 150864, 151100, 150871, 177047, 201461, 209960, 211748, 212615, 212121, 212244, 193716, 187543, 200951, 201927, 201698, 201293, 200783, 215911, 202093, 201663, 216355, 217004, 235029, 190965, 151604, 165533, 241008, 211439, 211611, 209589, 199169, 199618, 191532, 272938, 241215, 213927, 222732, 185006, 208811, 240886, 159158, 159598, 159873, 159584, 159085, 159034, 166810, 
10, 208476, 150454, 154004, 156461, 156718, 155763, 155515, 155407, 155278, 154999, 152508, 146625, 153030, 156491, 156374, 157120, 157648, 156744, 157401, 175389, 181985, 167147, 178808, 184019, 184466, 171413, 175826, 180203, 278982, 226148, 211632, 209080, 196960, 192183, 191642, 192103, 203732, 217550, 217073, 215105, 166843, 151162, 154020, 154727, 160841, 159299, 157682, 164962, 192793, 195748, 247985, 284321, 254412, 213887, 189685, 151808, 152714, 152880, 153480, 153035, 152786, 152737, 153395, 153063, 152750, 153049, 152488, 153090, 152780, 152788, 152850, 152870, 152885, 152856, 152801, 152730, 152518, 152411, 152866, 152401, 157569, 160294, 160531, 160846, 160589, 160542, 159884, 160427, 160544, 160062, 159487, 160584, 160079, 187709, 182791, 193022, 274954, 288490, 289073, 287936, 
