num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 52929, 56265, 55965, 55675, 55762, 55955, 55439, 55430, 54694, 55532, 
2, 88861, 100083, 98309, 78623, 78444, 78612, 78862, 77536, 79441, 77009, 
3, 109767, 107508, 108991, 105499, 102350, 98962, 116220, 109032, 116686, 108756, 
4, 103727, 102016, 105940, 107513, 98778, 92436, 92622, 88413, 90414, 99287, 
5, 106752, 107216, 106453, 114099, 102935, 91244, 85241, 86440, 89675, 102229, 
6, 81544, 103281, 105249, 121863, 115368, 114741, 115654, 113833, 119146, 111306, 
7, 95011, 76958, 96054, 94487, 104709, 100607, 97645, 101566, 109554, 108072, 
8, 83600, 88746, 103842, 103942, 104811, 115267, 95511, 113876, 92590, 101441, 
9, 83607, 91847, 93118, 99166, 106365, 98662, 98133, 104460, 106191, 97590, 
10, 86254, 101988, 99477, 95242, 95777, 93257, 93415, 91545, 108792, 107443, 
11, 95288, 106576, 113596, 113527, 117353, 104624, 91372, 110105, 106544, 107061, 
12, 120844, 103835, 110147, 117077, 111835, 116909, 115685, 99396, 109069, 109594, 
13, 127582, 134982, 121581, 116942, 123118, 112924, 109289, 112705, 128814, 126822, 
14, 129273, 131044, 130095, 131610, 127909, 135080, 128166, 136524, 125036, 138147, 
15, 132464, 132267, 130891, 141247, 134080, 145709, 134455, 125259, 136984, 141494, 
16, 127209, 141840, 135888, 133270, 133320, 131263, 127294, 134920, 128600, 132059, 
17, 127920, 142266, 134306, 129140, 132541, 135970, 131609, 137310, 135541, 133174, 
18, 130808, 127130, 127618, 129646, 135820, 130766, 128022, 130205, 128171, 119677, 
19, 132479, 140948, 145388, 137987, 134783, 133761, 138203, 141766, 134972, 132504, 
20, 121224, 141419, 140576, 153802, 146888, 136823, 142928, 136959, 149418, 139698, 
21, 125268, 126805, 123499, 139357, 135498, 131807, 126415, 119805, 134008, 126230, 
22, 135144, 133987, 145478, 132465, 134974, 139007, 136799, 133962, 139466, 141527, 
23, 142843, 141867, 143867, 150634, 135502, 148558, 147101, 142204, 135727, 141272, 
24, 142713, 148787, 142581, 146811, 154989, 155738, 152400, 162131, 147523, 156012, 
25, 141255, 154313, 157500, 160943, 159123, 154986, 149790, 142936, 138978, 145505, 
26, 140758, 136917, 165336, 155886, 155559, 148927, 149235, 140561, 149374, 156083, 
27, 128768, 143497, 148353, 137397, 136620, 144412, 133405, 150122, 137471, 128302, 
28, 128849, 137977, 135916, 144549, 143569, 160594, 162681, 162321, 151399, 160937, 
29, 122199, 133269, 119060, 120903, 124664, 143496, 140211, 132300, 133671, 145184, 
30, 126719, 151979, 151596, 145380, 145690, 143406, 123200, 147905, 153036, 152462, 
31, 112467, 122107, 134182, 131751, 142735, 133459, 133876, 126395, 133619, 135098, 
32, 131225, 138890, 143188, 137971, 146564, 153533, 166088, 151121, 153888, 138309, 
33, 138354, 155134, 129777, 128888, 149114, 137051, 122066, 136335, 151054, 159423, 
34, 135051, 152668, 148802, 157497, 150729, 162888, 157850, 161832, 159138, 156171, 
35, 110276, 135583, 145190, 148155, 133810, 133115, 150067, 147011, 152049, 162090, 
36, 126177, 150629, 142862, 155510, 158217, 154622, 145510, 154040, 122151, 135082, 
37, 119835, 122413, 130099, 127741, 129578, 141766, 137035, 144300, 139841, 136382, 
38, 114298, 131623, 143417, 153668, 137650, 150340, 150211, 146653, 143208, 154908, 
39, 127820, 157462, 155028, 158917, 161581, 160762, 155693, 153964, 168420, 148708, 
40, 135717, 147202, 149249, 138612, 129113, 134687, 129204, 158613, 148487, 150726, 
41, 118499, 147979, 150377, 145655, 144268, 152015, 150326, 147725, 142641, 156824, 
42, 118758, 141590, 137668, 141040, 142930, 143697, 144048, 147585, 146679, 149237, 
43, 125347, 139523, 138173, 138174, 137558, 148404, 154256, 153183, 153360, 156731, 
44, 123701, 144719, 139640, 138642, 141758, 136763, 141957, 140585, 139442, 133537, 
45, 136131, 141044, 132153, 143298, 140010, 141153, 142564, 139409, 144501, 138207, 
46, 96856, 133943, 147011, 149426, 142490, 138475, 132702, 139713, 139427, 143737, 
47, 118433, 140964, 142402, 132515, 141471, 146171, 139352, 104962, 114386, 117581, 
48, 92739, 102461, 113909, 125774, 118673, 122785, 121415, 119001, 116200, 123868, 
49, 102963, 119564, 117579, 114603, 110029, 120241, 132329, 119917, 115784, 119630, 
50, 114014, 129832, 123364, 120666, 119884, 114783, 124317, 121098, 123444, 133261, 
51, 111058, 125604, 131314, 125686, 124841, 114899, 117857, 123114, 131691, 129075, 
52, 97328, 120329, 112931, 120767, 121231, 124649, 113367, 118811, 127804, 122710, 
53, 90172, 87903, 93491, 94448, 104245, 106195, 107224, 112883, 112336, 89095, 
54, 100449, 113087, 120528, 117225, 114006, 88270, 94392, 101742, 100399, 112831, 
55, 97826, 86199, 97024, 96614, 96510, 102338, 109534, 111646, 102634, 117934, 
56, 93104, 116573, 107599, 104134, 103167, 112177, 123097, 124273, 115489, 111227, 
57, 78999, 80971, 84876, 81813, 86484, 93738, 98380, 89744, 90716, 93859, 
58, 89908, 88550, 81232, 88060, 88950, 85767, 83180, 92431, 97000, 92066, 
59, 84724, 83389, 78688, 82496, 83132, 88515, 100231, 94062, 93989, 100750, 
60, 90783, 81242, 82421, 84602, 89361, 91188, 80037, 82653, 85852, 97333, 
61, 82202, 86752, 84315, 79752, 85542, 83634, 83832, 84966, 83927, 86911, 
62, 82081, 88305, 91471, 91503, 92959, 84857, 83042, 89539, 92017, 87211, 
63, 84314, 84606, 85408, 90929, 80737, 81631, 90324, 77020, 83157, 87256, 
64, 80637, 82124, 82667, 85043, 82737, 84277, 82535, 78931, 79915, 80480, 
