num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, 
1, 81992, 76579, 68507, 67983, 68981, 68269, 68921, 68246, 69038, 68637, 
2, 140699, 139112, 111582, 104331, 107665, 111227, 111732, 111489, 111080, 123735, 
3, 141314, 133375, 133739, 134106, 134753, 137212, 136440, 134302, 133834, 129307, 
4, 163291, 155679, 155996, 156538, 156544, 156201, 154600, 151847, 145129, 148148, 
5, 226721, 226758, 198292, 176012, 174242, 182367, 181900, 179417, 180251, 172714, 
6, 152927, 149992, 149246, 148959, 147765, 148081, 147718, 146906, 148056, 147365, 
7, 213269, 211869, 208303, 207771, 210970, 210206, 209179, 211301, 211756, 211191, 
8, 216052, 192149, 192964, 195394, 194315, 199455, 200363, 201158, 201193, 200904, 
9, 217360, 154510, 151065, 152471, 152234, 152780, 152641, 152424, 156720, 161965, 
10, 210914, 148955, 151064, 150846, 150385, 150810, 150206, 150670, 150017, 149747, 
11, 232500, 191403, 149402, 152922, 153428, 151384, 151418, 152007, 154780, 154777, 
12, 233982, 218098, 217276, 207682, 207955, 213669, 221007, 221365, 218843, 217710, 
13, 223799, 155111, 154430, 156362, 156176, 163951, 165407, 167209, 166906, 166869, 
14, 226190, 219402, 197650, 203288, 154466, 154446, 157077, 184050, 186609, 186292, 
15, 149827, 151614, 150529, 149324, 147775, 149446, 149551, 147051, 148493, 149382, 
16, 232281, 193258, 192690, 193484, 193595, 192492, 192178, 190510, 191645, 191497, 
17, 208336, 185783, 188131, 187437, 187912, 188704, 189152, 189291, 189183, 189406, 
18, 208109, 189587, 189764, 187805, 181718, 181173, 151540, 148934, 152759, 155296, 
19, 219806, 191921, 186848, 153249, 184646, 190689, 190685, 191022, 190302, 189121, 
20, 278190, 278945, 276746, 192602, 205856, 195108, 196508, 202364, 214938, 213823, 
21, 228005, 196728, 169874, 157995, 159195, 157245, 158644, 159055, 157200, 157389, 
22, 217444, 204669, 208049, 206651, 203687, 202615, 202716, 207834, 211251, 195767, 
23, 219368, 185767, 189613, 189659, 188949, 191778, 191411, 191944, 187968, 190420, 
24, 211540, 199166, 179152, 149589, 149077, 232550, 257563, 224701, 202340, 207470, 
25, 280258, 270203, 266792, 231428, 152667, 155538, 153518, 154911, 150366, 155005, 
26, 263342, 225988, 208113, 208453, 207160, 202934, 203862, 207731, 206399, 204909, 
27, 199801, 203848, 162786, 156984, 155578, 152502, 151583, 155696, 154613, 156769, 
28, 170103, 155197, 155151, 155712, 157768, 160478, 155487, 154372, 154114, 155111, 
29, 241991, 210241, 210258, 193999, 189622, 187660, 185073, 189537, 188380, 187893, 
30, 252623, 208537, 202150, 170761, 139767, 151875, 146923, 151863, 152094, 152673, 
31, 268170, 247519, 186836, 183228, 187449, 188888, 206677, 199596, 202648, 188637, 
32, 184773, 150710, 154990, 147712, 150659, 151685, 153482, 153573, 152927, 154674, 
33, 213444, 160246, 148242, 155789, 150782, 149962, 149678, 148117, 143639, 145001, 
34, 225820, 186818, 166070, 152051, 152190, 150531, 152116, 181868, 189721, 181080, 
35, 182820, 197440, 192241, 191507, 183551, 181298, 190153, 197832, 197264, 196872, 
36, 227510, 188171, 182731, 182277, 181858, 179439, 181838, 196456, 202777, 197356, 
37, 213531, 200738, 177187, 145539, 147671, 143659, 138851, 143723, 141370, 146390, 
38, 223239, 197322, 199865, 204217, 204750, 204144, 191873, 188384, 186109, 190983, 
39, 217486, 205131, 194885, 155007, 144619, 150059, 152321, 150806, 155344, 148504, 
40, 269741, 248526, 198820, 188022, 189784, 191213, 174887, 143994, 170052, 198522, 
41, 152473, 174033, 181217, 185654, 163790, 154421, 153624, 152108, 150685, 140760, 
42, 200120, 190469, 181018, 185206, 181747, 179892, 180527, 184068, 181695, 181446, 
43, 233760, 197840, 198202, 200237, 198033, 198620, 182584, 179879, 159227, 173718, 
44, 203501, 198264, 190288, 149103, 146992, 143010, 153253, 147748, 147450, 179569, 
45, 276653, 203673, 166670, 152885, 153294, 151147, 151456, 151910, 150301, 152077, 
46, 221674, 176363, 155278, 154636, 147756, 148364, 151391, 149803, 150879, 167698, 
47, 215945, 194582, 191428, 155327, 143640, 148814, 150586, 149802, 148784, 144245, 
48, 227853, 191404, 174912, 150873, 188240, 189211, 187480, 156552, 143771, 151506, 
49, 214681, 194186, 168342, 156703, 145346, 155823, 154207, 153976, 153201, 152903, 
50, 219849, 201985, 202766, 203481, 200985, 200893, 200971, 200575, 201548, 199944, 
51, 207630, 204959, 203871, 203284, 182359, 182151, 184296, 186181, 185787, 180436, 
52, 226143, 168391, 146061, 146409, 145587, 146171, 147112, 151134, 151667, 150889, 
53, 203374, 182691, 175868, 140403, 144742, 147506, 147076, 146795, 147493, 147570, 
54, 189696, 150545, 151389, 151274, 150504, 150726, 150865, 150367, 148237, 148970, 
55, 199948, 201517, 180287, 147419, 188459, 200764, 181443, 149271, 154446, 154014, 
56, 200912, 147479, 147943, 149511, 149371, 149601, 149842, 155446, 168066, 167694, 
57, 182030, 163006, 183628, 183001, 180934, 182427, 152836, 154903, 180511, 155695, 
58, 194558, 152640, 149595, 153579, 153069, 159455, 189470, 193631, 155689, 148475, 
59, 228927, 205813, 180993, 139796, 150174, 252733, 192664, 184059, 178212, 151002, 
60, 224867, 194246, 193782, 189528, 185438, 186392, 170331, 170223, 152886, 149657, 
61, 205742, 150007, 152409, 147702, 150965, 151095, 151989, 154302, 154263, 154635, 
62, 215398, 174759, 173551, 175291, 174060, 173388, 172760, 172537, 172590, 155715, 
63, 219972, 191518, 197943, 224421, 201465, 190574, 185668, 149200, 151044, 150284, 
64, 275493, 199854, 152372, 153253, 154079, 153787, 174313, 183757, 184032, 182397, 
