num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 194910, 212764, 213472, 210875, 218529, 218411, 217601, 213863, 211006, 203763, 
2, 376818, 399770, 403109, 402956, 804494, 397001, 404265, 406442, 413290, 408520, 
3, 570461, 590945, 573235, 586552, 575790, 581340, 573725, 565935, 564288, 566268, 
4, 740266, 752989, 758720, 761180, 746428, 744182, 732761, 733519, 745883, 737759, 
5, 868353, 854467, 853689, 848848, 850951, 857942, 857068, 859774, 859571, 867870, 
6, 1012378, 1016549, 1021252, 1020100, 1005749, 1006071, 1008375, 1016265, 1017146, 999575, 
7, 1090728, 1074887, 1075743, 1071119, 1067698, 1071145, 1080299, 1076449, 1075516, 1072676, 
8, 1156477, 1133174, 1124646, 1125480, 1121037, 1116936, 1139886, 2269603, 1129378, 1121557, 
9, 1201480, 1201644, 1164295, 1156652, 1153779, 1152238, 1150431, 2298981, 1145451, 1163397, 
10, 1223061, 1136127, 1153509, 1175930, 1178733, 1186274, 1186016, 1199922, 1191724, 1180963, 
11, 1261887, 1140500, 1138320, 1119319, 1124464, 1126774, 1127900, 1131082, 1129634, 1130745, 
12, 1088834, 1082092, 1079484, 1075583, 1079945, 1082144, 1078540, 1077989, 1068002, 1068271, 
13, 1093838, 2173431, 3249388, 1077148, 1090908, 1093377, 1086364, 1077758, 1081978, 1082047, 
14, 1322868, 1271365, 2505534, 3674381, 1183091, 1174030, 2351411, 1197385, 1219033, 1223953,
15, 1325437, 1215019, 1178369, 1148619, 2307370, 1154717, 1138492, 1141493, 1218380, 1205585, 
16, 1288077, 1145477, 1112441, 1101643, 2200241, 3302082, 1104954, 1101807, 1095674, 1099421, 
17, 1224313, 1171976, 1143867, 1143147, 1145442, 1139198, 1137908, 1131768, 1125125, 1158828, 
18, 1261117, 1131562, 1097110, 1092008, 1087158, 1110625, 2206201, 1093230, 1085567, 1124249, 
19, 1263029, 1156182, 1141145, 1139594, 2269464, 1137282, 1148224, 1148628, 1142555, 1139993, 
20, 1130191, 1086670, 1066628, 1077176, 1078628, 1075685, 2153865, 1077684, 1079572, 1090379, 
21, 1292356, 1209949, 2410172, 1158734, 1157514, 1158890, 1158434, 2308251, 1156173, 1170154, 
22, 1228935, 1138938, 1138480, 1141653, 2270360, 1113663, 2221470, 1095718, 1092614, 1100689, 
23, 1270529, 1200905, 1159000, 1153297, 1156103, 2314815, 1153558, 1150833, 1149080, 1138919,
24, 1275872, 1183544, 1171045, 1179729, 1205594, 1204192, 1187517, 1178085, 1168348, 1167077,
25, 1140011, 1113779, 2228264, 1120422, 1125327, 1120062, 1124615, 1123051, 1125882, 2247455,
26, 1228387, 1158303, 1153248, 1138736, 2256289, 1116466, 1113010, 1108564, 1120543, 1115735, 
27, 1209456, 1145500, 1138103, 2262349, 1128199, 1136235, 2271938, 1130535, 1132738, 1120814, 
28, 1210321, 1118102, 2231941, 1114261, 1104928, 1106158, 2202187, 1085281, 1086478, 1095243, 
29, 1227861, 1177296, 1149836, 1147047, 1149286, 1148652, 1135861, 1133953, 1144323, 1156923, 
30, 1327978, 1178133, 1156277, 1155962, 1159296, 1165448, 1168221, 1176188, 1179397, 1177328,
31, 1260482, 1178301, 1174879, 1182865, 1153717, 1150445, 1148311, 1145244, 1174085, 1177867, 
32, 1120225, 1064697, 1066794, 1102597, 1107776, 1105647, 1111007, 1094969, 2184576, 1064228, 
