num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 5029, 5032, 4916, 4898, 4973, 5018, 4878, 4958, 5064, 4990, 
2, 12171, 12789, 12795, 12950, 12991, 12769, 13378, 13662, 13676, 13447, 
3, 17459, 18240, 19915, 19618, 20045, 19822, 19682, 19806, 19806, 19615, 
4, 25354, 27576, 27622, 27795, 27699, 27758, 27362, 27211, 27660, 26970, 
5, 32388, 33879, 33841, 34004, 33841, 33949, 34022, 33967, 34218, 33556, 
6, 42026, 41884, 41452, 40573, 37689, 37365, 37392, 39181, 42188, 42226, 
7, 40627, 40387, 41010, 41046, 40744, 41020, 40607, 40796, 40732, 40815, 
8, 50772, 50726, 49857, 50227, 49925, 52013, 51629, 51031, 51567, 51392, 
9, 50993, 52397, 52651, 52934, 53689, 54182, 54407, 52531, 51599, 51747, 
10, 61346, 58316, 58731, 59094, 59450, 59179, 58902, 58866, 58861, 58676, 
11, 59536, 59322, 58991, 57540, 57583, 59780, 59603, 59470, 60949, 60077, 
12, 64508, 61317, 61475, 61815, 61014, 61356, 61265, 61403, 61258, 60740, 
13, 72064, 72726, 71613, 70613, 71392, 74842, 74595, 75447, 74627, 75299, 
14, 74925, 70594, 69650, 68962, 69856, 69830, 69698, 69871, 70510, 70776, 
15, 67698, 66576, 66269, 65585, 65581, 65732, 66042, 66130, 65694, 65793, 
16, 80839, 74337, 74459, 74728, 74530, 73941, 74323, 74657, 75004, 74568, 
17, 81797, 79533, 82454, 80509, 79942, 80224, 79507, 80019, 79543, 81612, 
18, 84102, 79096, 79502, 79465, 79905, 76043, 79060, 81342, 80435, 79918, 
19, 78649, 73343, 73521, 75356, 73002, 71685, 75312, 74117, 73042, 70274, 
20, 78129, 74619, 73614, 71704, 71132, 71393, 71171, 71993, 71495, 70620, 
21, 74753, 73998, 73566, 71547, 72600, 73619, 73821, 72714, 73569, 71949, 
22, 93517, 85683, 87331, 87610, 88614, 82627, 80695, 79440, 79334, 81682, 
23, 90780, 78372, 78434, 80530, 82067, 82124, 83540, 80316, 81358, 81299, 
24, 88985, 85985, 86716, 85266, 85893, 87530, 88006, 87835, 88326, 87086, 
25, 75694, 72883, 72892, 71778, 73709, 74155, 74232, 74025, 70968, 69858, 
26, 94872, 80621, 81640, 82514, 83281, 83191, 82846, 83055, 84104, 84344, 
27, 92184, 87801, 86112, 87133, 86286, 88060, 88797, 88649, 88061, 88059, 
28, 90976, 81381, 79913, 81251, 83564, 83013, 83599, 82786, 84324, 83162, 
29, 82432, 85480, 87506, 85720, 86092, 87067, 85585, 85627, 86570, 87415, 
30, 92798, 79423, 77992, 80768, 78346, 80682, 81906, 81423, 79769, 78377, 
31, 88642, 81081, 83096, 85891, 92232, 91368, 92742, 93367, 93983, 96200, 
32, 80761, 75721, 75048, 75071, 76891, 77172, 84211, 77541, 75681, 76470, 
