num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 690329, 661867, 802571, 829634, 823024, 832625, 834698, 826041, 831264, 837793, 
2, 1217722, 1145250, 1128691, 1125296, 1117315, 1128956, 1135442, 1130706, 1132060, 1133967, 
3, 1393456, 1304860, 1299185, 1290187, 1289860, 1268372, 1264204, 1337439, 1393939, 1394541, 
4, 1673801, 1559736, 1628176, 1542581, 1513985, 1581425, 3254120, 1666557, 1694699, 1686551, 
5, 1396589, 1368069, 1370751, 1376386, 1369792, 1360966, 1376212, 1375107, 1344156, 1345575, 
6, 1411174, 1366531, 1268494, 1264613, 2542791, 1297774, 1328478, 1330088, 1313945, 1276736, 
7, 1413927, 1223001, 1199576, 1209998, 1213203, 1211893, 1203769, 1224118, 1200702, 1184700, 
8, 1752741, 1734089, 1634061, 1609080, 1600535, 1612186, 1601685, 1576708, 1611854, 1623267, 
9, 1533866, 2923740, 4313991, 5741807, 1427172, 1425193, 1401281, 1380796, 1394170, 1408646, 
10, 1658160, 1317421, 1454128, 1560992, 1473703, 1509825, 1550843, 1553422, 1527081, 1443126, 
11, 1419724, 1286632, 1351529, 1380260, 1298995, 2573215, 1280998, 1267561, 1263267, 1256659, 
12, 1559120, 1340786, 1337103, 1338386, 1322165, 1372176, 1348711, 1314281, 2765631, 1479098, 
13, 1446077, 1374666, 1318953, 2641910, 3970929, 1287584, 1283047, 1302132, 1294384, 1293677, 
14, 1587056, 1483319, 1464018, 1421181, 1472346, 2863076, 1468574, 3010761, 1602637, 1575217, 
15, 1506266, 1568230, 1528546, 1534200, 1538388, 1462790, 1448423, 1578304, 3162588, 1545414, 
16, 1330739, 1291757, 1354856, 1266117, 1228568, 1248439, 1286482, 1284707, 1264653, 1250744, 
17, 1705564, 1367658, 1318164, 1265707, 1298938, 1209171, 2405012, 3582766, 1212179, 1313747, 
18, 1307982, 1328415, 1272608, 1316992, 1278546, 1433610, 1405436, 1457525, 1384406, 2714465, 
19, 1382268, 1223894, 1240012, 1225380, 1186827, 1200163, 1219374, 2449910, 1236392, 1230193, 
20, 1321463, 1273513, 2604732, 1270912, 1270187, 1280559, 1218948, 1198698, 2459961, 1244203, 
21, 1469788, 1403400, 1453863, 1392796, 1486374, 1461482, 1505518, 2903980, 1258908, 1238528, 
22, 1510396, 1331483, 1235371, 1401578, 1274476, 1230157, 1247599, 2520711, 1300529, 1366698, 
23, 1256631, 1236539, 1186567, 1179986, 1235747, 1304612, 1239947, 1253725, 1228366, 1183740, 
24, 1439010, 1204460, 1245943, 1307469, 1349017, 1309230, 1310271, 1261646, 1293853, 1289898, 
25, 1470311, 1253444, 1275726, 2506700, 1344972, 1284298, 1303508, 1252354, 1262246, 1268346, 
26, 1426660, 1369842, 1351539, 1281272, 1194083, 1279112, 1297454, 1361030, 2663015, 1224869, 
27, 1599987, 1332762, 1252763, 1199150, 1193300, 1180859, 1193033, 1171443, 1155607, 1220990, 
28, 1331645, 1214364, 1200032, 1172591, 1149863, 1203152, 1200044, 1143653, 1127728, 1226759, 
29, 1382836, 1354701, 1360822, 1261863, 1228749, 1288239, 1243260, 1234750, 1195469, 1246846, 
30, 1400330, 1248084, 1236921, 1250542, 1244708, 1263069, 1254764, 1320683, 1237335, 1206150, 
31, 1409253, 1245646, 1330473, 1266083, 2588760, 1270661, 1288853, 2610077, 1434690, 2744113, 
32, 1397839, 1301927, 1332595, 2675185, 1322184, 2582415, 1264958, 1401869, 1269889, 1221370, 
