num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 52338, 49451, 49329, 49675, 48285, 48422, 48691, 48999, 49179, 48067, 
2, 81527, 80475, 80663, 79259, 80149, 80203, 78316, 77683, 78253, 78349, 
3, 84297, 79538, 86483, 86901, 86061, 79298, 77030, 77657, 77763, 77531, 
4, 82754, 79938, 82466, 81863, 81234, 82554, 81877, 76404, 77101, 77834, 
5, 86267, 84422, 84095, 83830, 83048, 82477, 83617, 83991, 84541, 84883, 
6, 84184, 80848, 84360, 85687, 86440, 84143, 83671, 84354, 84112, 84048, 
7, 84419, 73808, 77599, 77302, 77602, 78280, 79120, 79340, 80769, 83860, 
8, 95934, 93527, 92463, 94375, 93846, 94190, 93965, 93892, 94471, 94218, 
9, 82800, 81787, 78702, 76310, 75070, 80109, 81952, 83944, 75638, 76242, 
10, 88809, 80540, 83810, 81950, 81300, 80575, 80310, 75420, 76590, 77040, 
11, 83313, 78710, 79110, 79060, 79164, 79021, 79195, 79510, 79571, 79409, 
12, 85083, 83430, 83980, 84225, 84405, 83619, 84771, 83360, 82960, 83050, 
13, 94339, 93928, 89623, 87116, 87722, 87091, 87340, 91272, 87958, 82200, 
14, 84398, 81283, 81998, 81741, 80901, 82499, 84114, 84957, 85324, 88075, 
15, 96306, 93220, 95880, 92970, 94808, 95592, 95829, 96130, 95860, 96281, 
16, 86589, 82992, 83569, 80580, 72950, 78970, 81520, 81840, 79610, 80916, 
17, 92551, 93790, 91310, 89547, 89586, 93357, 94878, 94292, 94580, 94370, 
18, 75193, 75150, 79279, 81472, 79589, 76449, 75371, 82236, 82124, 80430, 
19, 91314, 89286, 84130, 86010, 88618, 90412, 90040, 84580, 83000, 88270, 
20, 87339, 75861, 79970, 81880, 82311, 80679, 79957, 82673, 84630, 82850, 
21, 83392, 81360, 80320, 80160, 79860, 79090, 80895, 80546, 80695, 81863, 
22, 85174, 85716, 85675, 85500, 78955, 73129, 79391, 78730, 84600, 84430,
23, 86576, 86564, 90796, 91200, 90977, 90880, 93063, 92220, 93320, 93460, 
24, 84930, 76570, 81740, 82090, 81550, 80970, 78950, 76890, 79716, 79314, 
25, 88131, 79954, 90060, 87410, 83385, 83383, 84747, 78955, 83679, 81931, 
26, 90846, 96533, 97957, 95610, 95330, 91994, 91126, 96616, 97699, 95340, 
27, 84272, 81330, 80660, 82682, 82998, 83079, 82832, 79609, 83250, 82836, 
28, 84199, 88466, 88935, 85289, 86740, 87740, 87730, 86720, 89650, 91360, 
29, 79547, 79113, 79546, 77824, 84155, 84905, 85077, 85263, 84490, 84110, 
30, 87857, 86369, 85891, 86310, 84900, 84860, 85460, 85190, 85190, 83030, 
31, 100517, 85460, 84810, 82110, 81730, 82660, 78816, 76987, 79127, 78553, 
32, 82902, 83762, 86620, 88780, 85498, 85032, 81030, 80799, 87541, 91292, 
