num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 42792, 43179, 43205, 43330, 43048, 42766, 42634, 42712, 40809, 40325, 
2, 44028, 41519, 40275, 40370, 41005, 40842, 40833, 40650, 40874, 40474, 
3, 41293, 41467, 41400, 40993, 40950, 40950, 41744, 42215, 41295, 42030, 
4, 39338, 37042, 37466, 35204, 36875, 36900, 37650, 37800, 37925, 38425, 
5, 38869, 37584, 38025, 37650, 37950, 37800, 37875, 38100, 38325, 39194, 
6, 38522, 38903, 38675, 39625, 39575, 39320, 39355, 39225, 39200, 39100, 
7, 35650, 36775, 38350, 37841, 37354, 37196, 38292, 38722, 38436, 38800, 
8, 36466, 39700, 39700, 39352, 38837, 39136, 39100, 37925, 39600, 39650, 
9, 38350, 39350, 38425, 38525, 38375, 38450, 38450, 38625, 39100, 40375, 
10, 36675, 36125, 36725, 36600, 36150, 37259, 36241, 37075, 36425, 36025, 
11, 39920, 39305, 37100, 38235, 38515, 38950, 41125, 40400, 41150, 40525, 
12, 38784, 38541, 37800, 37850, 37750, 37700, 37975, 37625, 36008, 36967, 
13, 39000, 38125, 38401, 39449, 39179, 39946, 39850, 37900, 37300, 37950, 
14, 36711, 38800, 38800, 37000, 38650, 39675, 37900, 37975, 37675, 36900, 
15, 38685, 36815, 38975, 36498, 36752, 37175, 36500, 36375, 36006, 36219, 
16, 35890, 38394, 37256, 40050, 39175, 40675, 39564, 40836, 39425, 39150, 
17, 38925, 39525, 39525, 38975, 38475, 38825, 37250, 38275, 36950, 39175, 
18, 36250, 36575, 37600, 36625, 37550, 36650, 36740, 37510, 37700, 37875, 
19, 36900, 38375, 37812, 37838, 38434, 37582, 37042, 37367, 35667, 35583, 
20, 39050, 38250, 39150, 40500, 40610, 40390, 40575, 40425, 40249, 39926,
21, 37275, 37475, 36550, 36325, 37975, 37200, 36362, 37913, 37650, 36500, 
22, 37430, 38070, 37900, 37225, 36075, 35250, 35400, 37500, 37925, 36907, 
23, 36875, 36410, 37815, 36675, 38225, 38500, 38600, 38175, 37625, 37875, 
24, 40525, 39475, 38488, 37362, 37363, 37742, 37995, 37775, 37925, 36150, 
25, 36775, 37300, 37650, 36750, 36175, 35856, 35544, 37575, 37500, 39150, 
26, 39390, 38835, 38475, 38625, 38009, 37153, 37938, 39150, 38450, 39100,
27, 36079, 36173, 36791, 35557, 38025, 36094, 35231, 36625, 38025, 36775, 
28, 36000, 34387, 36272, 35141, 35350, 35500, 36275, 35775, 35600, 35819, 
29, 36318, 35632, 36025, 35649, 35476, 36203, 35597, 36325, 35825, 37150, 
30, 36800, 35625, 36225, 36400, 35700, 36075, 35975, 36200, 38150, 37325, 
31, 37975, 36875, 35400, 37025, 37100, 37150, 35400, 36350, 36075, 36500, 
32, 34550, 35375, 34550, 35600, 33926, 34624, 34700, 35275, 34133, 34442, 
