num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 87691, 88211, 91410, 88224, 98610, 90183, 90443, 86298, 87571, 91370, 
2, 103711, 103422, 97746, 90599, 90039, 90536, 88625, 90250, 88175, 91049, 
3, 103206, 92252, 81670, 83016, 87430, 91504, 89725, 89100, 90050, 91550, 
4, 94033, 82388, 82430, 72112, 73145, 72725, 72275, 78475, 83350, 84433, 
5, 89514, 85123, 85075, 86789, 82336, 83914, 83986, 78303, 85463, 79956, 
6, 73275, 76875, 76666, 76884, 76542, 77427, 76356, 75625, 75626, 76524, 
7, 84449, 82550, 82846, 85462, 84117, 85100, 83925, 85717, 87878, 87630, 
8, 78259, 71626, 70163, 70752, 70431, 66329, 69825, 81249, 87000, 73866, 
9, 83269, 83429, 77525, 80900, 76400, 87018, 89082, 81781, 80694, 78575, 
10, 86675, 85425, 84000, 88119, 75381, 82700, 87000, 81550, 84343, 75997, 
11, 78653, 72667, 71700, 71025, 68932, 68943, 70150, 66034, 72541, 69058, 
12, 87800, 80429, 72611, 73326, 81884, 84850, 85092, 75826, 73682, 74246, 
13, 86034, 84075, 81992, 72802, 81006, 85442, 86058, 83000, 80025, 83114,
14, 84575, 77375, 72875, 70250, 77425, 70891, 72901, 69951, 73714, 71518, 
15, 81050, 73073, 73737, 71515, 73142, 71283, 70791, 70284, 72850, 76725, 
16, 91090, 84185, 80850, 76500, 75155, 74670, 68550, 68200, 74003, 75715, 
17, 76925, 77840, 77310, 77725, 77175, 80671, 81779, 81963, 82600, 82092, 
18, 72925, 71725, 71133, 72217, 69925, 69025, 72075, 74059, 72241, 71420, 
19, 79819, 70106, 73818, 71657, 67164, 70711, 80225, 73675, 75675, 74424, 
20, 78528, 71207, 66864, 67850, 69377, 68291, 69884, 70450, 69606, 71619, 
21, 83350, 72469, 77481, 80001, 81734, 78202, 82979, 79636, 77413, 76750, 
22, 92200, 88825, 75200, 85850, 80600, 85650, 80600, 78266, 80169, 81190, 
23, 81025, 72824, 72051, 69175, 72400, 69375, 74392, 75902, 76659, 75016, 
24, 85510, 77652, 74547, 69091, 71553, 73182, 69125, 72025, 69450, 74275,
25, 75000, 71325, 69477, 71242, 70590, 71666, 73743, 69207, 70925, 72773, 
26, 88125, 77563, 74579, 71758, 68400, 70873, 69708, 74944, 76209, 75841,
27, 74944, 73506, 67583, 75785, 69769, 74363, 68250, 67075, 75150, 74625,
28, 73450, 71750, 75914, 73136, 69982, 74811, 69307, 69475, 67350, 67995,
29, 82850, 73875, 73750, 78525, 78625, 74566, 80134, 78552, 71563, 75260,
30, 89200, 77924, 71026, 69150, 71437, 71795, 69118, 73400, 72075, 90625, 
31, 90450, 75229, 73421, 72424, 70946, 71005, 67200, 69825, 69860, 75490, 
32, 79075, 86625, 79425, 82125, 78750, 80292, 80333, 76272, 77553, 77973, 
