num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 88912, 96351, 101119, 100702, 100736, 100713, 100119, 100396, 100769, 99019, 
2, 108441, 107812, 123625, 123275, 123291, 125234, 122654, 122336, 122547, 121843, 
3, 120640, 111094, 109616, 116198, 102252, 108175, 117573, 109427, 111500, 119125, 
4, 98660, 94986, 98239, 99575, 100425, 100649, 101392, 100659, 100475, 100200, 
5, 126625, 106313, 100555, 111171, 117586, 113154, 98746, 116625, 117300, 115925, 
6, 109013, 111498, 113914, 107275, 111050, 108303, 107672, 109550, 113277, 113423, 
7, 119701, 103125, 117050, 114975, 114450, 114975, 113125, 113189, 113386, 112625, 
8, 125028, 117657, 119678, 124316, 112779, 102130, 113000, 110230, 107295, 108925, 
9, 110275, 114650, 118200, 116096, 107749, 104197, 106683, 108502, 108148, 115050, 
10, 113125, 106025, 116375, 103537, 109686, 108527, 100534, 122816, 123223, 120928, 
11, 123675, 111692, 119408, 113484, 115191, 120097, 121153, 121305, 122719, 125172, 
12, 110901, 115608, 122991, 123325, 123253, 123172, 122950, 100897, 114703, 122175, 
13, 113700, 105450, 105675, 109750, 115538, 118187, 117515, 116985, 117200, 118325, 
14, 112542, 117650, 117625, 120515, 112358, 123977, 122950, 122875, 115884, 119807,
15, 100600, 119151, 129474, 122380, 105895, 103575, 109381, 105244, 109762, 106074, 
16, 138810, 114415, 110475, 104542, 106508, 103350, 102050, 102700, 106875, 111544, 
17, 101974, 93926, 109000, 94084, 92741, 93025, 98225, 117366, 107971, 100488, 
18, 104827, 112661, 131798, 132625, 112846, 96666, 95864, 96099, 107625, 115150,
19, 119469, 98425, 100117, 100714, 100557, 98886, 102819, 101463, 101850, 103237,
20, 122850, 101950, 119600, 105550, 112976, 120224, 105625, 110625, 121336, 122038, 
21, 95085, 95400, 100975, 103700, 106068, 100382, 96075, 93600, 97019, 99256, 
22, 102362, 94038, 94084, 91505, 92093, 95768, 94338, 104712, 110275, 110326, 
23, 106880, 100945, 106400, 106725, 110150, 102475, 104200, 113097, 113997, 113306, 
24, 100499, 114451, 116932, 116968, 116925, 117325, 113469, 94627, 113054, 116250, 
25, 105881, 101711, 101133, 101244, 96431, 99450, 102811, 99989, 100784, 100491, 
26, 118000, 128737, 118563, 126150, 113992, 109759, 115374, 115800, 117353, 114872, 
27, 124825, 97600, 105368, 97007, 109748, 118202, 107025, 128357, 113189, 132329,
28, 103169, 104372, 118324, 118410, 118387, 118388, 120050, 124050, 104850, 105375,
29, 110425, 123682, 119552, 114805, 114836, 115175, 114425, 116675, 109268, 112703, 
30, 100950, 104525, 96825, 105275, 122126, 131124, 106059, 114817, 97469, 115805, 
31, 105200, 106875, 95570, 88055, 91213, 92371, 95241, 97775, 97075, 95175, 
32, 117250, 107768, 112675, 117432, 115838, 100930, 108104, 113770, 114781, 111849,
