num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 100274, 94548, 95817, 99329, 102289, 112233, 109721, 111438, 112459, 102633, 
2, 100767, 95416, 92452, 99675, 99656, 99927, 103137, 91950, 99500, 98769, 
3, 118825, 111300, 101575, 110650, 112625, 113171, 113504, 113099, 107100, 111809, 
4, 105802, 90733, 100365, 91092, 99108, 102498, 104677, 104865, 105535, 105850, 
5, 107379, 88600, 90224, 88048, 97171, 94982, 85547, 89372, 86702, 90304, 
6, 98845, 96181, 107374, 110443, 95463, 99581, 108713, 102575, 89375, 91664, 
7, 106808, 96524, 89876, 94224, 87283, 89343, 91925, 90741, 107319, 98475, 
8, 111275, 96050, 89275, 93725, 96392, 100764, 95869, 96171, 95869, 96285, 
9, 105703, 103730, 107200, 110025, 113297, 108347, 97292, 115264, 108309, 103891, 
10, 100298, 98908, 104644, 106058, 105292, 105147, 98597, 97279, 93239, 103113, 
11, 96055, 90820, 91900, 88450, 97014, 92936, 91123, 89602, 100915, 98360, 
12, 99712, 94175, 94075, 94006, 94291, 94689, 94780, 94734, 94141, 94257, 
13, 94708, 94811, 109531, 108525, 108025, 105726, 105999, 95410, 95314, 106026, 
14, 106075, 109275, 103836, 113514, 107406, 116169, 102950, 107608, 105292, 116700,
15, 106900, 120926, 98749, 102000, 116400, 99800, 105750, 101782, 100793, 97775,
16, 105688, 95466, 88046, 99725, 90000, 98825, 90000, 88200, 88200, 99025, 
17, 97025, 89745, 95130, 88273, 89123, 92829, 95282, 105435, 91403, 103030,
18, 108891, 124316, 123333, 96692, 103550, 106649, 98492, 95497, 93537, 106373, 
19, 116430, 114245, 115550, 107261, 113613, 104187, 91314, 91984, 101391, 107400, 
20, 96175, 90444, 94696, 105860, 98700, 104519, 97381, 86319, 88252, 82654, 
21, 117971, 92754, 96602, 87973, 88791, 99232, 87558, 89944, 100375, 89517, 
22, 112150, 112134, 112341, 99875, 94850, 87500, 93420, 86305, 91565, 86667,
23, 104786, 100547, 112109, 93166, 103650, 98100, 95147, 90913, 88930, 93360, 
24, 113525, 113277, 91195, 89478, 83800, 90769, 87495, 89231, 91830, 83450, 
25, 114050, 106725, 99625, 100484, 109616, 96175, 98719, 109581, 108985, 111980, 
26, 108380, 110070, 108152, 88623, 107475, 109261, 96914, 92010, 95214, 92384,
27, 102875, 97408, 98992, 99450, 94782, 91593, 101092, 99483, 98523, 101700, 
28, 112825, 100050, 108450, 108750, 95150, 102450, 91118, 104627, 97576, 107304,
29, 108026, 93650, 94019, 96138, 92051, 94643, 91969, 97619, 93326, 99510,
30, 104825, 98350, 123190, 126855, 107720, 103260, 96950, 110075, 98125, 111900, 
31, 112761, 98900, 109364, 115400, 118775, 95475, 109050, 125200, 99169, 117281,
32, 92941, 92034, 95103, 91847, 88029, 86746, 87250, 86160, 87025, 88190, 
