num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 5037, 5035, 5023, 4988, 5012, 5081, 4990, 4975, 4977, 4953, 
2, 11637, 11221, 11884, 11209, 11481, 11823, 11965, 12795, 12439, 13340, 
3, 20225, 21846, 22120, 22559, 22981, 22838, 22534, 22637, 21692, 22323, 
4, 27174, 28188, 28523, 28259, 28163, 28505, 29355, 28808, 28356, 28630, 
5, 31946, 34627, 35039, 34868, 35123, 35394, 34578, 34232, 34728, 35568, 
6, 38659, 39734, 39608, 40268, 39484, 39941, 40310, 40113, 39581, 40089, 
7, 45181, 46226, 46709, 46657, 47394, 46674, 46904, 46528, 46407, 46223, 
8, 53274, 54522, 54991, 55390, 55175, 54862, 54902, 54834, 55275, 54893, 
9, 58110, 58752, 57494, 58465, 59112, 58800, 58373, 59529, 58664, 58912, 
10, 63519, 61399, 60213, 59517, 59073, 59147, 59936, 59740, 58226, 58578, 
11, 62938, 57713, 56978, 57229, 57470, 58427, 58639, 58643, 58500, 58833, 
12, 67245, 64265, 64141, 64684, 63900, 63511, 64549, 63239, 64600, 65110, 
13, 78191, 77202, 77815, 76797, 76380, 76857, 76609, 72367, 67194, 76988, 
14, 70465, 69633, 69768, 70100, 69615, 69888, 72271, 71196, 70572, 70830, 
15, 80787, 81333, 80418, 81021, 81201, 81611, 81289, 81491, 80338, 79503, 
16, 72230, 70901, 68751, 69313, 69124, 70067, 66299, 71075, 71683, 71876, 
17, 88273, 83363, 79705, 83077, 82945, 84438, 82496, 82492, 86373, 85676, 
18, 74447, 72564, 70275, 70707, 71979, 72713, 68106, 70913, 73193, 72164, 
19, 72143, 70137, 68881, 71988, 73133, 72197, 72907, 71647, 73377, 73327, 
20, 86879, 86283, 82140, 81925, 83422, 85430, 84618, 85627, 85486, 85381, 
21, 79283, 77666, 77949, 78506, 78667, 76035, 77087, 75113, 75419, 77983, 
22, 95149, 81219, 81694, 79367, 78440, 77591, 77848, 78494, 77392, 77727, 
23, 93070, 83563, 88582, 86053, 87447, 82716, 81167, 82234, 82572, 83649, 
24, 88034, 81938, 81253, 79978, 78789, 79193, 79949, 79224, 79100, 79215, 
25, 97326, 87065, 85276, 85316, 86227, 86624, 89013, 88140, 89512, 90432, 
26, 96218, 87099, 82345, 79875, 80465, 79006, 77997, 78198, 78619, 78284, 
27, 87310, 80873, 79956, 79339, 79207, 78719, 79156, 82864, 82372, 84736, 
28, 91894, 80576, 80985, 80187, 80597, 78417, 78217, 78914, 77773, 77208, 
29, 95235, 78102, 77446, 78025, 78544, 79129, 79568, 79475, 80089, 79042, 
30, 99081, 75349, 76021, 76414, 76947, 76542, 76442, 76066, 75807, 86054, 
31, 93632, 87727, 84731, 80424, 86051, 86796, 84021, 83205, 85817, 92108, 
32, 76589, 82365, 82070, 84367, 84910, 86342, 89306, 85783, 85768, 87580, 
