num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 5358, 5666, 5585, 5597, 5656, 5623, 5785, 5462, 5517, 5168, 
2, 10024, 10616, 10574, 10583, 10466, 10458, 10182, 10183, 10005, 10042, 
3, 15225, 15451, 15465, 15526, 15611, 15596, 15558, 15577, 15678, 15410, 
4, 19620, 20066, 20084, 19781, 19954, 20157, 20102, 20256, 20272, 19987, 
5, 22426, 22514, 22693, 22725, 22585, 22506, 22543, 22617, 22683, 22663, 
6, 26226, 26704, 26620, 26475, 26640, 26401, 26153, 26370, 26728, 26709, 
7, 29620, 28892, 29147, 29329, 29234, 29121, 29623, 29654, 29645, 29350, 
8, 29617, 29105, 29735, 29722, 29489, 29420, 29289, 29406, 29075, 29415, 
9, 31916, 30754, 29932, 30963, 31080, 31320, 31577, 31968, 32000, 32074, 
10, 31820, 30948, 31148, 31490, 31338, 31058, 31085, 30359, 29919, 30444, 
11, 34169, 32870, 32179, 31904, 31950, 33117, 32966, 33044, 33385, 33551, 
12, 33209, 31964, 30788, 31035, 31055, 31079, 31089, 31709, 31856, 31927, 
13, 33860, 31286, 31247, 31437, 30873, 30661, 31076, 30786, 31500, 30980, 
14, 34312, 31449, 29903, 29861, 30076, 30006, 29644, 29762, 30923, 30694, 
15, 35043, 32905, 32825, 32792, 32380, 32406, 32407, 32410, 32598, 32490, 
16, 35377, 34060, 33368, 32749, 32238, 32955, 32970, 32591, 32922, 32849,
17, 29926, 29181, 29046, 28958, 28978, 29170, 29261, 29761, 29702, 29589, 
18, 33876, 32522, 32039, 31035, 30512, 30358, 30230, 30468, 30499, 30862,
19, 34846, 32839, 32682, 33011, 32548, 32521, 32458, 32466, 31746, 31624, 
20, 33779, 32377, 32172, 31974, 31923, 31953, 31749, 31965, 31930, 32521, 
21, 34085, 32119, 31786, 31860, 31118, 30757, 31281, 31356, 31364, 31128, 
22, 33273, 31910, 31576, 31596, 31527, 31460, 31123, 31342, 31284, 31030, 
23, 30843, 30100, 30416, 30448, 30293, 30404, 30398, 30394, 30508, 30224, 
24, 36223, 32683, 32350, 32058, 31861, 31879, 31699, 31641, 31540, 31513,
25, 34994, 32315, 30954, 30800, 30802, 30920, 30972, 32271, 32461, 32322, 
26, 33694, 33102, 32767, 33067, 33026, 32877, 32821, 32298, 32033, 31763, 
27, 31469, 31498, 31419, 31296, 31586, 31547, 31597, 31800, 31728, 31859, 
28, 34037, 31649, 31068, 31160, 31077, 31000, 30862, 30669, 30405, 30375, 
29, 32538, 30798, 30712, 31045, 31119, 30851, 30833, 30911, 30675, 30454, 
30, 31091, 30421, 30260, 30323, 30434, 30440, 30518, 30419, 30630, 30840, 
31, 33370, 31394, 31870, 31866, 31982, 31943, 31506, 32462, 31742, 31899,
32, 34210, 32000, 32215, 32289, 32267, 32164, 32160, 31950, 32050, 32288,

