num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 5286, 5256, 5087, 5137, 4986, 5357, 5250, 5335, 5391, 5417, 
2, 9940, 9755, 9957, 9841, 9890, 9938, 9929, 10073, 9665, 9880, 
3, 15292, 15656, 15776, 15842, 15925, 15910, 15874, 15859, 15646, 15677, 
4, 19425, 19312, 19703, 19717, 19719, 19804, 19662, 19811, 19815, 19628, 
5, 23791, 24493, 24300, 24120, 23928, 24292, 24369, 24287, 24176, 24422, 
6, 27134, 27056, 27283, 27340, 27338, 27225, 27266, 27117, 27312, 27492, 
7, 30152, 28807, 28710, 28876, 28831, 28533, 28554, 28591, 28363, 28395, 
8, 29768, 28371, 28750, 29129, 29205, 29440, 29026, 28959, 28472, 28575, 
9, 33091, 32541, 32146, 32378, 32842, 32958, 32832, 33154, 33120, 34122, 
10, 33208, 31092, 31312, 31522, 31599, 31631, 31896, 32013, 32015, 32128,
11, 32013, 31023, 31162, 30833, 30693, 30698, 30312, 30551, 30533, 30845, 
12, 32634, 31193, 31447, 31315, 31276, 31988, 31528, 31486, 31802, 31763, 
13, 31882, 31312, 30696, 30767, 30644, 30241, 30510, 30379, 31051, 30988, 
14, 33487, 33470, 33131, 32653, 31412, 31213, 31002, 30467, 31611, 32263, 
15, 30328, 29132, 29555, 30042, 30164, 30201, 30071, 30020, 29906, 30207, 
16, 34704, 32955, 32424, 32499, 32572, 32035, 32171, 32087, 31603, 31415, 
17, 37065, 32756, 32739, 33127, 33194, 32584, 33269, 33516, 32819, 33228, 
18, 33982, 32596, 32508, 31863, 31531, 31599, 31476, 31191, 31167, 31724, 
19, 31368, 30231, 30151, 29958, 30088, 29826, 30174, 30268, 29819, 30098, 
20, 34135, 32654, 32490, 32657, 32159, 32487, 32552, 32295, 32115, 32944, 
21, 35934, 33633, 32995, 32734, 32678, 32840, 32653, 32381, 32547, 32372, 
22, 31043, 29933, 29962, 29760, 29741, 29956, 30010, 30221, 30130, 30120, 
23, 31548, 30740, 30691, 30467, 30541, 30759, 30817, 31093, 31565, 31196,
24, 32855, 31071, 31210, 31237, 30823, 30750, 30835, 31390, 31307, 31075,
25, 33828, 31275, 31097, 30987, 30695, 30569, 30636, 30618, 30427, 30219,
26, 31178, 30414, 30809, 30601, 30689, 30493, 30392, 30380, 30449, 30618, 
27, 30809, 29571, 29663, 29496, 30056, 30554, 30470, 30683, 30600, 30209, 
28, 36104, 33374, 32551, 31331, 31471, 32030, 32791, 32431, 32567, 32113, 
29, 33738, 30525, 30637, 30636, 30597, 30541, 30432, 30484, 30222, 30355, 
30, 34853, 30979, 32130, 32221, 32388, 32239, 31922, 31774, 31747, 31643,
31, 31365, 30152, 29995, 30053, 30146, 30065, 30455, 30388, 30570, 31040, 
32, 31190, 30163, 30419, 30384, 30094, 30173, 30199, 30080, 30214, 30732, 
