num_pingsvalue1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60, value61, value62, value63, value64, value65, value66, value67, value68, value69, value70, value71, value72, value73, value74, value75, value76, value77, value78, value79, value80, value81, value82, value83, value84, value85, value86, value87, value88, value89, value90, value91, value92, value93, value94, value95, value96, value97, value98, value99, value100, 
1, 4894, 4843, 4802, 4970, 4794, 4786, 4803, 4835, 4834, 4890, 4938, 4803, 4770, 5000, 4774, 4914, 4917, 4796, 4810, 4847, 4849, 4858, 4762, 4926, 4856, 4862, 4866, 4869, 4878, 4800, 4889, 4832, 4849, 4839, 4769, 4795, 4751, 4840, 4822, 4795, 4754, 4922, 4800, 4795, 4777, 4844, 4804, 4865, 4844, 4960, 4750, 4825, 4855, 4920, 4811, 4913, 4797, 5033, 4823, 4943, 4906, 4926, 5010, 4932, 4879, 4866, 4852, 4870, 4860, 4921, 4848, 4833, 4847, 4874, 4830, 4750, 4767, 5092, 4789, 4884, 4750, 4845, 4778, 4981, 4873, 4803, 4834, 4798, 4896, 4833, 4838, 4994, 4781, 4868, 4922, 4792, 4871, 4774, 4781, 4837, 
2, 11684, 11254, 11165, 13163, 12975, 12988, 12261, 10856, 10885, 10787, 11008, 11825, 12516, 10733, 11276, 10912, 10755, 10770, 10717, 11790, 12678, 12628, 10958, 10756, 10770, 10784, 11131, 12602, 12540, 12653, 11029, 10730, 11322, 11354, 11499, 11183, 11327, 10934, 12638, 12929, 13006, 12918, 11006, 10737, 10947, 12694, 11130, 10877, 10949, 10934, 11018, 11024, 11373, 11620, 10840, 11440, 12678, 12802, 12776, 11599, 11443, 11639, 12806, 13063, 13011, 12929, 13043, 12764, 12816, 12772, 12793, 12818, 11399, 10903, 12003, 12968, 12903, 13223, 13105, 12942, 12969, 13021, 13148, 13223, 13018, 13057, 12942, 13020, 13029, 13082, 13045, 13074, 12981, 12432, 11442, 11295, 11208, 11332, 11128, 11004, 
3, 17787, 16543, 16945, 16810, 18037, 17852, 18880, 19124, 18921, 19646, 19668, 19724, 19037, 18098, 18991, 18990, 18041, 17782, 17939, 17927, 17901, 18456, 19030, 19031, 18911, 19011, 18635, 18945, 18655, 18459, 18603, 18425, 18455, 19056, 19036, 19119, 18972, 18965, 19081, 19537, 19446, 19537, 19741, 19626, 19730, 19493, 19694, 19809, 19693, 19769, 19827, 19637, 19665, 19671, 19435, 19461, 19769, 19809, 19766, 19771, 19139, 18842, 18375, 18229, 18226, 18430, 18343, 18369, 18442, 19226, 20100, 20053, 20113, 20029, 19787, 19906, 19673, 19818, 19970, 19854, 19747, 18522, 18442, 19553, 19888, 19794, 19849, 19864, 19850, 19773, 19771, 19840, 19670, 18640, 18355, 18433, 18379, 18397, 18316, 18581, 
4, 22600, 23414, 23625, 23490, 23523, 23656, 23549, 23419, 22974, 24543, 24595, 24399, 24279, 24744, 24667, 24454, 24610, 24589, 24641, 24621, 24460, 24394, 24498, 24732, 24424, 24679, 24114, 23815, 24062, 23092, 22977, 23030, 23028, 22742, 22318, 22855, 22829, 22817, 22917, 22979, 24036, 24693, 24655, 24566, 24697, 24710, 24689, 24825, 24652, 24824, 24816, 24803, 24536, 24744, 24722, 24678, 24695, 24600, 24921, 24672, 24819, 23124, 22506, 21719, 21860, 22094, 22597, 21901, 22118, 21722, 21586, 21615, 21569, 21449, 21546, 22270, 21843, 21560, 21628, 21602, 22952, 21990, 21512, 23857, 24456, 22435, 21718, 23367, 24034, 22369, 21585, 21627, 21637, 21618, 21742, 21683, 21678, 21704, 21661, 21653, 
5, 27327, 25685, 25729, 25758, 26059, 26093, 25980, 26099, 26084, 25808, 28794, 29082, 29026, 29062, 29039, 29110, 29095, 29196, 29096, 29118, 29097, 29069, 29072, 29110, 29134, 29067, 29084, 29172, 28990, 29533, 29489, 29554, 29525, 29294, 29405, 29582, 29862, 29803, 29756, 29709, 29421, 29589, 28403, 29542, 29948, 30193, 30179, 29614, 29521, 30055, 30092, 30094, 30056, 30020, 30103, 29503, 27523, 27254, 27601, 27776, 27716, 27614, 27630, 27521, 27561, 27525, 27609, 27554, 27636, 27746, 27586, 27742, 27673, 27844, 27822, 27791, 27753, 27328, 29274, 30194, 30117, 30254, 30300, 30177, 30242, 30108, 30241, 30255, 30234, 30210, 30243, 29791, 28209, 27249, 27849, 27890, 27822, 27790, 27724, 27652, 
6, 30448, 30261, 30111, 31743, 31683, 31357, 33118, 33148, 33434, 33520, 33432, 31888, 31967, 32017, 31641, 31513, 31608, 31605, 31510, 31721, 32036, 33048, 31679, 31627, 31435, 31493, 31670, 31370, 31365, 31394, 31398, 31560, 31515, 31768, 31562, 31438, 31560, 31456, 31158, 31148, 32831, 31888, 31608, 31643, 31494, 31759, 31676, 33048, 33261, 33368, 33438, 33510, 33465, 32178, 31859, 31765, 31699, 32005, 31669, 31655, 31666, 31629, 31442, 31866, 31624, 31689, 31693, 31671, 31605, 31695, 32010, 32174, 31884, 31628, 31820, 32173, 31696, 31811, 31665, 31706, 31776, 31645, 31768, 31815, 31696, 31728, 31754, 32007, 31916, 31825, 32020, 31504, 31493, 31317, 32306, 32170, 32023, 32068, 32246, 33296, 
7, 35345, 33522, 32899, 33044, 33541, 33343, 32986, 32985, 33496, 31837, 32406, 32809, 33126, 31693, 32053, 31929, 32524, 33644, 32875, 33121, 32909, 32855, 33036, 32993, 31193, 31151, 32352, 33639, 32185, 31091, 32359, 32186, 32192, 31328, 31371, 31133, 31183, 31651, 31409, 31520, 31462, 31470, 32655, 32862, 32835, 32042, 31981, 31464, 31449, 31406, 31391, 32365, 31753, 33110, 32925, 32912, 32649, 32643, 32552, 32645, 32677, 33054, 32723, 32770, 32219, 32065, 32314, 32759, 31182, 31499, 32676, 32725, 32913, 32412, 33470, 31538, 31715, 31602, 32283, 31290, 31494, 32159, 33239, 33167, 32804, 32570, 32052, 32405, 31050, 30981, 32223, 32542, 32712, 31185, 31326, 31098, 31854, 31520, 31375, 31614, 
8, 38307, 38384, 38267, 37487, 37581, 37593, 38289, 38257, 38322, 38679, 36560, 38326, 38565, 38276, 38224, 38104, 37952, 37911, 38198, 37588, 38273, 37788, 38010, 36502, 38595, 38519, 38312, 35948, 38184, 37053, 39379, 37845, 37734, 38095, 37993, 35681, 37864, 36063, 36160, 38142, 40196, 40528, 39101, 38532, 38540, 37710, 38309, 40115, 39690, 38903, 39981, 39757, 39803, 39537, 38165, 38205, 38323, 38410, 38256, 38095, 38356, 38389, 38455, 38661, 38742, 38312, 38433, 38380, 38490, 38601, 38567, 38512, 38378, 38230, 39060, 38651, 39041, 38534, 38685, 37671, 37899, 35847, 34976, 33837, 34104, 35947, 38311, 38163, 38543, 38593, 37756, 38637, 37134, 37398, 38633, 38057, 37927, 37649, 37910, 38790, 
9, 40479, 39372, 40928, 36965, 41388, 43716, 44275, 44388, 44093, 44213, 44038, 43284, 41505, 37568, 37838, 41069, 43408, 41526, 41656, 44330, 44417, 44179, 43371, 43378, 39532, 40008, 40641, 40820, 40762, 41276, 41910, 40820, 40791, 40432, 40532, 40599, 39238, 40707, 41196, 41429, 39730, 40488, 40595, 37518, 38782, 38999, 39060, 41012, 40960, 37014, 35395, 35043, 35368, 37906, 39079, 39547, 40131, 40111, 40463, 40456, 40407, 40409, 40303, 40597, 40666, 40964, 40500, 37514, 37289, 36840, 37277, 37434, 37410, 38282, 40725, 39513, 36710, 39838, 40639, 39797, 41137, 40928, 40372, 39279, 40976, 40968, 40416, 37448, 39784, 40472, 41083, 40917, 40694, 43053, 40657, 40323, 40477, 40677, 40340, 40789, 
10, 43623, 43740, 43681, 43827, 43499, 38146, 37332, 38451, 41604, 39918, 37470, 41675, 38025, 38195, 41780, 38205, 37875, 38158, 42159, 42137, 42236, 39325, 38444, 41064, 41848, 42187, 42052, 38166, 37638, 38013, 39968, 38263, 37407, 37775, 38044, 38482, 41699, 38124, 44020, 40339, 41883, 43373, 39484, 41524, 39073, 38647, 38804, 37325, 38142, 38478, 40018, 36679, 37351, 38008, 38892, 39172, 40240, 42854, 42535, 42410, 40581, 41985, 44028, 41970, 42110, 41260, 39945, 38383, 43317, 44312, 43364, 43314, 43363, 42899, 43340, 43338, 43954, 43067, 42984, 43517, 42885, 43424, 43549, 43952, 43761, 43694, 42295, 44167, 44232, 44184, 44095, 43280, 44122, 44101, 43493, 41851, 42825, 43957, 42415, 43713, 
11, 47706, 44829, 43634, 44560, 45936, 45630, 42513, 44828, 45457, 44543, 45345, 45422, 45646, 45593, 45287, 45379, 45122, 45217, 45057, 43316, 44929, 44829, 45083, 45150, 41892, 40062, 41702, 42367, 42744, 45950, 48472, 47602, 46178, 46221, 45710, 46260, 46488, 45688, 45825, 45839, 46360, 46679, 46523, 45325, 45458, 45801, 44936, 45128, 45802, 45901, 46103, 46509, 46409, 46247, 46026, 48817, 47413, 46472, 43477, 44584, 45185, 45542, 45635, 39990, 41795, 42212, 42691, 42464, 41951, 42814, 42688, 43316, 43516, 42600, 43081, 43908, 42998, 43008, 43584, 40968, 43003, 43500, 43496, 43437, 43281, 44139, 44512, 41057, 42581, 43188, 43746, 42189, 42482, 43026, 42632, 40074, 41626, 42973, 42281, 42862, 
