num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60, value61, value62, value63, value64, value65, value66, value67, value68, value69, value70, value71, value72, value73, value74, value75, value76, value77, value78, value79, value80, value81, value82, value83, value84, value85, value86, value87, value88, value89, value90, value91, value92, value93, value94, value95, value96, value97, value98, value99, value100, 
1, 4942, 4943, 4911, 4831, 4813, 4750, 4889, 4821, 4923, 4794, 4751, 4821, 4776, 4898, 4750, 4751, 4855, 4815, 4863, 4850, 4790, 4787, 4787, 4750, 4891, 4812, 4766, 4768, 4896, 4852, 4824, 4796, 4751, 4849, 4883, 4904, 4784, 4893, 4837, 4750, 4804, 4912, 4784, 4768, 4778, 4972, 4838, 4813, 4775, 4900, 4855, 5148, 4770, 4766, 4824, 4753, 4820, 4856, 4787, 4783, 4750, 4897, 4892, 4818, 4787, 5061, 4968, 4843, 4836, 4867, 4795, 4877, 4796, 4929, 4780, 4789, 4818, 4906, 4751, 4925, 4750, 4872, 4835, 4863, 4768, 4838, 4813, 4972, 5016, 4864, 4750, 4751, 4760, 4947, 5101, 4963, 4772, 4870, 4932, 4904, 
2, 10397, 10633, 10436, 10589, 11796, 12039, 11488, 10665, 11443, 12792, 12753, 12744, 12887, 12769, 12735, 12942, 11278, 10415, 10181, 11839, 12023, 12065, 10415, 10308, 10901, 11873, 11953, 12695, 12918, 12828, 12881, 12792, 12883, 12923, 13007, 12813, 12937, 12852, 12856, 12833, 12908, 12854, 12896, 12802, 12926, 12857, 12929, 12849, 12906, 12920, 12801, 12854, 12825, 12875, 12771, 12754, 12786, 12625, 12901, 12750, 12752, 12928, 12866, 12910, 12879, 12939, 12828, 12954, 12748, 12732, 12850, 12812, 12905, 12806, 12913, 12867, 12936, 12669, 12936, 12689, 12913, 12942, 12748, 12782, 12923, 12785, 12731, 12988, 12935, 12948, 12925, 12848, 12863, 12912, 12840, 13033, 12796, 12991, 12819, 12868, 
3, 16435, 17137, 17171, 16984, 17061, 16981, 17175, 17034, 17071, 17253, 17174, 17097, 17335, 17485, 17404, 17476, 16794, 17083, 17726, 18154, 18110, 18107, 17032, 16973, 17100, 17209, 17120, 17200, 17189, 17077, 17163, 17098, 17105, 16654, 16710, 16682, 17013, 17135, 17168, 17948, 18040, 17188, 17227, 17222, 17280, 17100, 17171, 17260, 17119, 17051, 17081, 17192, 17242, 17225, 17629, 18097, 18127, 18023, 18147, 17935, 18113, 18080, 18095, 17935, 17023, 16983, 17038, 17203, 17197, 16865, 16977, 17283, 18133, 17578, 18181, 18570, 18668, 17456, 17604, 17442, 18106, 18535, 18032, 18153, 18225, 18777, 18726, 18641, 18523, 18638, 18596, 18746, 18473, 18561, 18518, 18701, 18487, 18552, 18633, 18474, 
4, 21905, 22168, 21879, 22279, 22355, 21815, 22281, 22257, 22276, 21648, 20599, 21041, 21404, 21380, 21415, 21348, 21275, 22086, 21919, 21749, 19567, 18606, 18757, 20614, 20627, 20512, 20495, 22460, 22567, 22557, 22488, 21719, 21563, 22440, 22756, 22438, 22423, 22534, 22810, 22729, 22748, 22805, 22688, 22751, 22796, 22719, 22659, 22740, 22790, 22663, 22807, 21433, 22416, 22725, 22777, 22687, 22817, 22595, 22758, 22638, 22284, 21434, 21038, 20951, 21330, 20824, 20957, 21336, 20680, 20216, 18464, 21163, 22215, 22359, 21922, 21959, 21734, 21204, 21189, 21187, 21487, 21542, 22348, 22500, 22185, 21794, 21680, 21692, 21588, 21609, 21533, 21496, 21480, 21610, 21639, 21949, 22390, 22345, 22180, 22314, 
5, 25350, 25488, 24926, 24900, 25359, 25030, 25105, 24987, 25212, 25214, 25934, 25996, 25962, 25930, 25950, 25786, 26164, 25759, 26073, 25089, 25149, 25091, 25227, 25292, 25602, 25298, 25359, 25294, 25312, 25296, 25117, 25102, 25089, 25112, 25409, 25329, 25629, 25893, 26241, 26161, 25989, 25584, 25536, 25509, 25644, 25680, 25703, 25695, 25768, 25655, 25510, 25586, 25534, 25539, 25851, 26187, 26140, 26175, 26164, 25737, 25474, 25570, 25520, 25664, 25750, 26232, 25871, 25868, 25740, 25527, 25586, 25513, 26173, 26126, 26110, 26798, 27046, 26694, 26050, 26007, 26066, 26102, 26044, 26028, 26454, 25315, 25297, 25365, 25359, 25377, 25364, 25237, 25252, 25233, 25278, 25180, 25338, 25268, 25432, 25333, 
6, 29646, 29757, 29089, 28883, 28915, 29497, 29401, 29508, 31126, 31166, 31076, 31080, 31063, 29867, 29313, 29494, 31140, 30971, 29906, 30909, 29430, 30655, 29926, 30661, 29613, 29784, 29267, 29794, 29917, 30650, 30913, 30085, 29542, 29262, 29393, 29306, 29548, 29574, 29319, 29394, 29125, 29212, 29303, 29280, 29310, 29267, 29253, 29276, 29395, 29189, 29130, 30351, 29490, 29250, 29351, 29696, 29058, 29155, 29212, 29302, 29249, 29317, 29215, 29226, 29224, 29275, 29348, 29344, 30645, 31287, 31305, 31302, 31293, 31184, 31312, 30910, 30680, 28928, 28949, 29289, 29363, 29303, 29294, 29303, 29292, 29325, 29325, 29537, 29726, 29643, 29396, 29080, 29131, 29391, 29473, 29471, 29414, 29021, 29317, 29416, 
7, 31992, 31500, 31425, 27693, 27288, 31425, 28700, 31781, 27602, 27380, 27454, 27456, 27164, 27454, 30847, 32080, 27663, 27533, 30804, 27797, 31503, 28248, 27426, 30839, 28225, 28036, 27595, 27429, 27340, 27905, 31339, 32100, 28552, 30065, 31884, 28129, 27671, 27079, 27134, 26930, 29587, 29786, 28936, 27289, 27199, 28123, 30349, 29740, 30065, 30964, 29250, 28160, 30829, 29707, 27978, 28420, 29672, 31235, 30705, 30750, 31143, 29736, 29593, 29547, 27851, 28220, 28397, 28162, 28162, 28217, 28080, 27615, 27670, 29386, 31013, 29952, 30227, 30093, 30372, 29786, 29787, 28852, 29525, 30227, 30429, 28978, 28409, 28656, 28030, 28569, 29467, 28923, 30342, 30532, 30632, 29498, 30116, 28808, 30400, 30236, 
8, 36370, 34881, 34132, 33948, 33892, 33833, 34144, 34320, 34253, 34146, 36915, 36737, 35455, 35214, 34754, 34751, 34761, 34367, 34597, 35580, 35841, 35790, 35591, 34910, 35365, 35318, 35434, 35387, 35417, 35376, 34981, 36087, 35596, 36311, 36660, 34012, 33219, 33091, 34682, 35207, 34305, 34092, 34033, 33755, 33995, 34473, 34703, 34624, 34592, 34627, 34559, 34677, 34439, 35380, 35210, 34227, 34240, 34126, 34162, 34161, 33966, 33903, 34104, 34033, 33950, 33881, 33890, 33713, 33833, 33875, 33816, 33975, 33580, 33380, 33410, 33505, 33649, 34002, 33947, 34217, 35704, 36370, 35240, 35335, 36261, 36956, 35808, 34306, 34624, 33994, 33367, 34223, 34375, 37354, 37249, 35807, 34943, 34921, 34922, 34778, 
9, 38161, 34375, 34423, 34358, 34473, 34011, 34530, 34605, 35767, 35799, 36917, 35210, 36479, 36509, 38035, 35574, 37835, 35410, 34946, 35342, 35123, 34921, 36184, 36162, 35259, 35049, 35430, 35768, 35469, 35695, 34401, 34957, 35668, 34832, 36005, 35788, 34849, 36232, 36090, 36375, 36131, 36377, 37538, 34775, 35137, 34830, 36276, 35911, 35691, 35747, 35724, 35817, 35924, 36632, 36432, 37265, 35781, 35122, 35549, 34506, 33821, 33250, 33707, 35163, 33651, 35493, 35991, 35710, 35191, 35711, 36069, 35890, 35871, 35711, 35713, 36230, 34952, 35804, 35656, 35146, 35612, 35385, 35899, 34463, 35185, 36081, 35525, 35536, 36444, 36482, 36647, 35050, 35423, 34895, 35642, 34810, 34016, 33959, 33755, 33272, 
10, 38592, 37901, 37660, 37855, 37858, 38077, 36619, 36358, 37616, 37791, 37948, 37000, 35123, 34333, 35025, 35315, 34952, 34757, 34970, 35503, 36727, 36750, 35680, 36763, 36855, 37440, 36704, 37447, 36522, 36888, 37005, 36875, 36831, 36778, 36800, 36372, 36481, 36833, 36889, 38385, 36749, 36779, 36820, 36569, 36661, 36822, 36879, 36763, 36666, 36555, 36651, 36702, 36732, 38524, 36774, 36612, 36554, 36571, 36375, 34857, 36613, 38700, 36961, 37894, 36739, 36593, 36303, 36328, 36188, 36185, 36253, 36183, 36242, 36261, 36186, 36194, 36195, 36102, 36199, 36234, 36309, 36289, 36369, 36635, 36909, 37469, 37362, 37142, 37156, 37027, 36735, 36780, 36716, 38332, 38213, 36121, 36134, 36200, 36198, 36247, 
11, 39564, 38478, 38802, 38138, 40038, 39297, 38041, 39424, 39455, 39409, 41127, 40337, 40012, 38980, 38989, 38968, 38904, 38949, 39988, 39889, 39863, 39440, 40633, 39936, 39012, 40346, 39291, 36960, 40400, 40998, 40024, 39692, 40470, 40189, 40418, 41598, 41734, 41622, 41092, 40835, 41222, 39764, 39825, 39833, 39896, 40056, 40550, 41519, 41574, 41630, 40969, 41589, 41199, 40374, 39926, 39914, 39137, 38514, 40077, 40257, 38885, 38930, 38104, 37243, 38112, 39982, 40955, 40950, 40908, 40475, 40555, 40331, 40673, 39794, 39044, 40729, 41387, 41116, 39915, 40108, 39957, 39720, 38780, 36990, 36285, 36583, 37066, 36965, 36458, 35887, 37224, 38529, 39452, 39181, 38474, 38380, 38133, 37493, 37317, 36743, 
