num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60, value61, value62, value63, value64, value65, value66, value67, value68, value69, value70, value71, value72, value73, value74, value75, value76, value77, value78, value79, value80, value81, value82, value83, value84, value85, value86, value87, value88, value89, value90, value91, value92, value93, value94, value95, value96, value97, value98, value99, value100, 
1, 5001, 4827, 4939, 4790, 4792, 4849, 5129, 5025, 5232, 5441, 4793, 4808, 5030, 4768, 4945, 5015, 4874, 4995, 4903, 5005, 4932, 4767, 4990, 4808, 4934, 4923, 5114, 5115, 4974, 4939, 4848, 5088, 5146, 5342, 5690, 4919, 4862, 5147, 5253, 4873, 4947, 4751, 4901, 4783, 4784, 4902, 4879, 5190, 5015, 4870, 5096, 4840, 4846, 4821, 4994, 4984, 4912, 4833, 4942, 4809, 5021, 4766, 4975, 4788, 4922, 4779, 4808, 4787, 4788, 4949, 4978, 4776, 4843, 4786, 4973, 4849, 4971, 4786, 4803, 4753, 4814, 4805, 4829, 4764, 4849, 4794, 4825, 4820, 4950, 4846, 4952, 4791, 4936, 4916, 4785, 4940, 5112, 4757, 5149, 4799, 
2, 11155, 11222, 12574, 12246, 11647, 11040, 11316, 11095, 11319, 10409, 11413, 12030, 11997, 12693, 10849, 10805, 11143, 12427, 11491, 10996, 12146, 13004, 12524, 12523, 12023, 10802, 10829, 10908, 12716, 12593, 11012, 10657, 10517, 10553, 10455, 11931, 10755, 10496, 10490, 10589, 10563, 10536, 12613, 13131, 11068, 10684, 10816, 10600, 10423, 12597, 12867, 12891, 12890, 12829, 12842, 12754, 12765, 10828, 10639, 11843, 10563, 10539, 10580, 12180, 12536, 10925, 10593, 10935, 10759, 12468, 13451, 14395, 13198, 12821, 13044, 11002, 11278, 12522, 12473, 12392, 10977, 11162, 12304, 12750, 12266, 11324, 11174, 11180, 12343, 12792, 10799, 10868, 10793, 10792, 11680, 12525, 13283, 12868, 10750, 10567, 
3, 16843, 17042, 18384, 18311, 18368, 18411, 18105, 18506, 18247, 18252, 18237, 18400, 18599, 18618, 18328, 18407, 18048, 18157, 18012, 18018, 18086, 18152, 17976, 18698, 17778, 18054, 17982, 17898, 18091, 18353, 17889, 18044, 18249, 18437, 18282, 18664, 17882, 18018, 17852, 17986, 17938, 18107, 18016, 18120, 18844, 19009, 18103, 18264, 18198, 18586, 19196, 18297, 18481, 18697, 18615, 18667, 18574, 18590, 18550, 18687, 18463, 18255, 18151, 18038, 18107, 18015, 18101, 18312, 18239, 18310, 18221, 18237, 18063, 18246, 18159, 18351, 18298, 18429, 18207, 18685, 18233, 18185, 18221, 18249, 18064, 18281, 18256, 18593, 18212, 18318, 18213, 18169, 18243, 18344, 18304, 18288, 18279, 18295, 18311, 18331, 
4, 22918, 23670, 23739, 23782, 23820, 23690, 23531, 23765, 23552, 23291, 23517, 23530, 23617, 23492, 23319, 22825, 23061, 23027, 23091, 23124, 23140, 23190, 23036, 23060, 22906, 23061, 23106, 23162, 23061, 22981, 24858, 24850, 24851, 24942, 24830, 24408, 24563, 24481, 24563, 24504, 24574, 24622, 24614, 24552, 24373, 24520, 24557, 24573, 24485, 24568, 24551, 24454, 24578, 24380, 24547, 24293, 24494, 24599, 24604, 24598, 24574, 24438, 24522, 24609, 24482, 24518, 24615, 24468, 24620, 24439, 24603, 24445, 24581, 24489, 24465, 24531, 24038, 24533, 24555, 24570, 23528, 23778, 24099, 24008, 24001, 24110, 24175, 24315, 24326, 24530, 24423, 24552, 24637, 24721, 24461, 24493, 24645, 24514, 24552, 24238, 
5, 26341, 26729, 26919, 26989, 27049, 27030, 26789, 26674, 26756, 26784, 29088, 29088, 29099, 29175, 29111, 29158, 29079, 29610, 27687, 27574, 27345, 27378, 28930, 28948, 29134, 29081, 29677, 29761, 29476, 28113, 28223, 28247, 27878, 29143, 28594, 28368, 27855, 27203, 27417, 26225, 26455, 28621, 29200, 27700, 27550, 27631, 27507, 27420, 27282, 27311, 27318, 27389, 27517, 28777, 28351, 27981, 27958, 28033, 27974, 29471, 30083, 29760, 29851, 29802, 29748, 29730, 29840, 29785, 28366, 27938, 27948, 27860, 27842, 27727, 27680, 27824, 27955, 27857, 27951, 27946, 27948, 28094, 28094, 28077, 29255, 29824, 29793, 29787, 29812, 29790, 29820, 29817, 29782, 29785, 27769, 26745, 27489, 27486, 26825, 26979, 
6, 31526, 31382, 31457, 31615, 31503, 31717, 31680, 30946, 30960, 31244, 28296, 32824, 28952, 28449, 28743, 30867, 31787, 31436, 28922, 30800, 31295, 28328, 32506, 32992, 29097, 28743, 32570, 33087, 33174, 33237, 33030, 33046, 32947, 33028, 32938, 32964, 33122, 32908, 32912, 31200, 32501, 32900, 32877, 29581, 28657, 28559, 32447, 31435, 31004, 31687, 30760, 31348, 31435, 30850, 32962, 32008, 32289, 32101, 31976, 31210, 30935, 31164, 30980, 31373, 30897, 31201, 31030, 32510, 31558, 31441, 31698, 32120, 32109, 31787, 31072, 30951, 31065, 32250, 32372, 31992, 31973, 32109, 32031, 32199, 32389, 31783, 31645, 31391, 32275, 32593, 32442, 32556, 32335, 32090, 32217, 31810, 31940, 31886, 31798, 32003, 
7, 33857, 34170, 34357, 34393, 34304, 34339, 34434, 34375, 33219, 34189, 34652, 35074, 37222, 37140, 36993, 36980, 36877, 37021, 36947, 37298, 35606, 35352, 37218, 37379, 37456, 36836, 36850, 37138, 37573, 37631, 37471, 36309, 36468, 36394, 36326, 36333, 36445, 35979, 36596, 37087, 36794, 37056, 37364, 35220, 34632, 34589, 34915, 35062, 35074, 35006, 35041, 35072, 35139, 35160, 35062, 35222, 36836, 37210, 36083, 35820, 35893, 35739, 35799, 34966, 34897, 36598, 35927, 35060, 35160, 34862, 35636, 34872, 35742, 36548, 36421, 36997, 37084, 37202, 36320, 34582, 34384, 35891, 36941, 35275, 35286, 35076, 35104, 35382, 35069, 35090, 35206, 35192, 35161, 35241, 36739, 37472, 36324, 35412, 35194, 34780, 
8, 37245, 37304, 37374, 37432, 37004, 37138, 37286, 37602, 37581, 37916, 38322, 38104, 37405, 36561, 37332, 37468, 37653, 36855, 34095, 36550, 36607, 36354, 38269, 37078, 33370, 36404, 36797, 36380, 36985, 36901, 37080, 36858, 37856, 37348, 34148, 35671, 37150, 37869, 37243, 37213, 37336, 38150, 37590, 33994, 32893, 32857, 36129, 34562, 33519, 33512, 31618, 31982, 32097, 32218, 32276, 31418, 32373, 36281, 37627, 38644, 36116, 35705, 33151, 34172, 33393, 32859, 32525, 32198, 32659, 32502, 32899, 32774, 32541, 36103, 34068, 32297, 33059, 36813, 37614, 37496, 36856, 37022, 36378, 36443, 36440, 35815, 36684, 37327, 37303, 37033, 37137, 37278, 37944, 35782, 33692, 33063, 33567, 33359, 33667, 32844, 
9, 41730, 42277, 41749, 42171, 41105, 41666, 41985, 42179, 42132, 42420, 42145, 42221, 42214, 42144, 42193, 42280, 41615, 42183, 42118, 41387, 41221, 41857, 42255, 41540, 41418, 42036, 42283, 42151, 42075, 42088, 41994, 41517, 41870, 42027, 41973, 42039, 42285, 41658, 41870, 42067, 42032, 42098, 43327, 42649, 41703, 41560, 42024, 42233, 43121, 42299, 41380, 41352, 42730, 43686, 44061, 42823, 41492, 42330, 42688, 42317, 41971, 42067, 42165, 41757, 41520, 41390, 42206, 42204, 42959, 42030, 41664, 41740, 41676, 41671, 41683, 41676, 41536, 41958, 42176, 42340, 41809, 42225, 42262, 41917, 41664, 41623, 41967, 42284, 42302, 42240, 42190, 42302, 42593, 42155, 41876, 42365, 42215, 42413, 42590, 42559, 
10, 45962, 45701, 45795, 45375, 42760, 42687, 43391, 44309, 38024, 37009, 37156, 42452, 38052, 38944, 43582, 43323, 44157, 43477, 39987, 38364, 41859, 40700, 43935, 38657, 44844, 39381, 36484, 37088, 45555, 44604, 42023, 38351, 38059, 38100, 37019, 38164, 36681, 35728, 37379, 37355, 38207, 38526, 38916, 35605, 36512, 36380, 36438, 36493, 36750, 36771, 37492, 38700, 37658, 41370, 39780, 38591, 36725, 37575, 36867, 36601, 36381, 36552, 38040, 38612, 37276, 39145, 40611, 39829, 37036, 37019, 37108, 37263, 38057, 38352, 35998, 36918, 36229, 38691, 38114, 40030, 38500, 36230, 37858, 42083, 37830, 41963, 38747, 36394, 37816, 37460, 36763, 38084, 37624, 43506, 38046, 39151, 38086, 38359, 37284, 37258, 
11, 46272, 46446, 43065, 37896, 38268, 37724, 37195, 38158, 37422, 37909, 39402, 38538, 37634, 37507, 40115, 39677, 40470, 41014, 41690, 41717, 44793, 40453, 38455, 40569, 40184, 41573, 38879, 38843, 39815, 38956, 38137, 38264, 37911, 38071, 39042, 38950, 38972, 38653, 38750, 41696, 44405, 44021, 41437, 41866, 40395, 44007, 41674, 40580, 41976, 40660, 41231, 42748, 42047, 41231, 45726, 43192, 40741, 42914, 39094, 38966, 42404, 38627, 37909, 38887, 39126, 39699, 37659, 38462, 38244, 37732, 38229, 39184, 37723, 38394, 38748, 39659, 40304, 39781, 39103, 37987, 38663, 38504, 39909, 38101, 39427, 47374, 44623, 44273, 40823, 45726, 43716, 41092, 46146, 45632, 46199, 45373, 43910, 45633, 46375, 42648, 
12, 45392, 44264, 40518, 40026, 39871, 45226, 43528, 43514, 43025, 43965, 41616, 42541, 43744, 43813, 42574, 45468, 46045, 45696, 45661, 46129, 45487, 45725, 44821, 44402, 45456, 44674, 42307, 45166, 44961, 46851, 45140, 45639, 44712, 43030, 44545, 44027, 43903, 43239, 43343, 45470, 44230, 43569, 44400, 45409, 45566, 45481, 43718, 43217, 42837, 44172, 43974, 44150, 44433, 44818, 44547, 45911, 46350, 45912, 45753, 45847, 45930, 45454, 45562, 45523, 45404, 44227, 45197, 44869, 44812, 43652, 43425, 44800, 44191, 43548, 45189, 45721, 42195, 45031, 44583, 43515, 43862, 43166, 43903, 43507, 45437, 42870, 43905, 41881, 40852, 40183, 40989, 41492, 43812, 42931, 42235, 42355, 39169, 43669, 43114, 43673, 
13, 51248, 47166, 44926, 49024, 47755, 47046, 48995, 49570, 49645, 49123, 49335, 50194, 48367, 44351, 40508, 41092, 47729, 49043, 50593, 44587, 45458, 47412, 47144, 44686, 41065, 39572, 41519, 48608, 46996, 47032, 48703, 45598, 48648, 48834, 45925, 48832, 48546, 48715, 46330, 43222, 49055, 48884, 49028, 48585, 41933, 47696, 49112, 49214, 49247, 43740, 47378, 49030, 49067, 42876, 47815, 47492, 42714, 48492, 48246, 48591, 42649, 45115, 49009, 48785, 48573, 49171, 40576, 44476, 49105, 50489, 50315, 50214, 50134, 47806, 43788, 42708, 40240, 40235, 41575, 50137, 49691, 48698, 43278, 48478, 48841, 42795, 38594, 45091, 44681, 38649, 39061, 46645, 48136, 48074, 44252, 47175, 52527, 50341, 41465, 44203, 
14, 48365, 46878, 42329, 46726, 43191, 40993, 42760, 41389, 45558, 43753, 40937, 41045, 41713, 41169, 42270, 42283, 40913, 41072, 41155, 41347, 46805, 40491, 44666, 42046, 47064, 44905, 46020, 41079, 47419, 46377, 40624, 39651, 39499, 39958, 40077, 41271, 41743, 47665, 45092, 47998, 40000, 40192, 39772, 41014, 40827, 44886, 39827, 39501, 40318, 40931, 42214, 46161, 40937, 40294, 39831, 45169, 44248, 41780, 42629, 42977, 46872, 42154, 43574, 42061, 41213, 42313, 41639, 42092, 42186, 41342, 41762, 42553, 41929, 41842, 42308, 42727, 41880, 46108, 41638, 40428, 40170, 40840, 42528, 43442, 45641, 40931, 40154, 42246, 41436, 40424, 40028, 40004, 41085, 40693, 44036, 42710, 41720, 40944, 46563, 41780, 
15, 49851, 48119, 47056, 46186, 46421, 46177, 46022, 45740, 43762, 42364, 43129, 43197, 43707, 41614, 45582, 43419, 41277, 41357, 46340, 42947, 41805, 41629, 41681, 41343, 41453, 44305, 43235, 44750, 42749, 41089, 44378, 42917, 45361, 42454, 43763, 44875, 42825, 42303, 42434, 42937, 42959, 44188, 44546, 44235, 48186, 43921, 43288, 47979, 44543, 39851, 45125, 47904, 44623, 43524, 43447, 42978, 42357, 41402, 43990, 42675, 41998, 40908, 41289, 44634, 44124, 43933, 43752, 43221, 41015, 39712, 41353, 43296, 43353, 44405, 48745, 42951, 41762, 42496, 43634, 43457, 40757, 48774, 43642, 43018, 41399, 42780, 42742, 42861, 40504, 41662, 44410, 42720, 41907, 43531, 47940, 45736, 42831, 41460, 44101, 43930, 
