num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 4809, 4809, 4763, 4824, 4751, 4823, 4786, 4836, 4798, 4785, 
2, 11743, 12054, 11351, 12016, 12023, 11995, 11852, 11930, 12337, 11865, 
3, 17016, 17348, 17364, 17342, 17459, 17487, 17202, 17084, 18467, 18303, 
4, 21951, 22121, 22353, 21796, 21497, 20871, 20518, 21260, 21255, 21189, 
5, 25732, 26003, 25665, 25661, 25636, 25667, 25641, 26871, 27010, 27003, 
6, 28866, 24915, 24800, 24664, 24581, 27816, 28044, 26226, 27755, 27866, 
7, 27532, 27020, 26877, 27194, 26808, 26649, 27244, 27432, 27162, 30443, 
8, 32372, 32766, 32788, 32711, 32611, 32669, 33476, 32937, 32312, 33345, 
9, 35921, 35398, 33648, 33662, 29475, 34395, 35151, 35090, 36136, 37181, 
10, 39556, 38402, 38028, 37722, 37867, 37326, 37736, 37961, 38023, 38496, 
11, 39552, 38854, 37874, 37658, 37610, 38622, 38448, 38840, 39081, 37701, 
12, 39530, 38777, 37437, 37029, 37035, 36921, 38698, 32061, 38309, 38528, 
13, 44008, 38070, 31658, 40318, 40507, 39829, 38473, 40622, 40588, 41352, 
14, 41274, 35958, 29464, 39295, 39526, 39525, 39355, 36878, 36381, 38418, 
15, 38039, 37245, 37228, 37325, 37340, 37336, 37286, 36459, 34028, 35620, 
16, 41161, 35634, 35151, 35010, 35020, 34761, 34868, 34626, 34401, 34527, 
17, 42365, 38821, 38467, 38395, 38000, 37181, 36451, 37131, 37253, 37396, 
18, 37605, 33188, 29058, 37055, 37452, 37263, 37274, 37479, 37213, 36806, 
19, 40996, 38096, 37809, 37617, 37074, 37363, 37055, 37033, 38052, 38235, 
20, 38496, 36160, 35739, 35486, 35175, 35101, 35019, 35090, 35623, 35493, 
21, 42715, 41378, 41167, 38218, 37509, 37555, 37493, 37670, 38784, 38440, 
22, 43839, 40823, 40361, 39363, 40398, 40593, 40432, 40287, 40638, 40294, 
23, 39429, 36402, 36188, 36133, 36410, 36447, 36514, 36439, 36216, 36258, 
24, 41848, 40278, 40313, 39207, 39107, 39000, 39040, 38878, 38631, 38736, 
25, 40606, 38532, 38719, 38374, 38196, 38217, 38453, 38608, 38290, 38208, 
26, 37257, 36887, 36396, 35878, 35848, 35654, 35752, 35628, 35367, 35638, 
27, 41696, 39702, 39534, 37832, 37654, 39531, 39153, 38618, 35839, 37807, 
28, 41435, 39795, 39737, 38716, 35865, 35630, 35662, 35561, 35649, 36147, 
29, 42936, 38523, 35548, 35073, 34931, 35047, 35084, 35088, 35095, 35664, 
30, 33072, 31685, 31641, 31667, 31740, 31737, 31754, 31740, 31716, 31808, 
31, 39060, 35309, 34009, 32627, 32649, 33735, 33398, 33434, 33425, 34211, 
32, 39144, 37252, 35787, 35415, 35662, 35608, 37199, 37025, 37155, 35633, 
33, 40555, 38199, 37906, 36790, 36406, 36128, 36104, 36133, 36131, 36270, 
34, 41128, 40590, 40021, 38361, 37925, 37983, 38725, 38707, 38674, 38560, 
35, 44367, 42602, 41893, 41366, 41192, 40660, 40736, 40813, 40823, 40847, 
36, 44255, 39514, 38059, 36141, 35152, 35222, 36614, 37408, 37340, 36886, 
37, 41387, 39224, 39203, 36634, 36589, 36074, 36916, 37828, 37786, 37696, 
38, 39962, 37942, 36393, 35823, 35364, 35291, 34779, 34747, 34434, 35586, 
39, 41237, 36240, 35800, 34049, 33399, 33285, 33157, 36032, 36850, 34736, 
40, 40065, 36095, 35242, 35101, 34656, 34538, 34480, 33955, 33732, 33705, 
41, 38876, 37865, 37181, 36781, 33455, 32942, 32917, 33272, 33428, 33392, 
42, 31366, 31170, 31340, 31320, 31374, 31870, 31652, 31714, 31853, 31833, 
43, 39905, 37729, 36408, 32154, 32142, 31947, 31756, 36383, 36122, 35792, 
44, 42082, 37175, 36569, 36393, 35737, 35366, 34730, 36829, 36425, 36316, 
45, 35693, 34428, 34356, 34081, 33834, 33739, 33467, 33282, 33112, 32855, 
46, 40337, 37039, 34652, 34241, 33780, 33912, 33610, 33742, 35081, 34977, 
47, 37952, 36095, 35188, 34522, 33954, 33193, 33049, 33139, 33529, 33457, 
48, 39387, 36834, 36474, 36535, 36078, 33227, 32093, 32452, 36054, 35589, 
49, 36009, 35368, 33833, 34305, 33734, 32378, 32497, 33257, 34495, 34581, 
50, 34993, 33760, 33644, 34428, 34527, 34018, 33916, 34321, 33715, 33622, 
51, 38481, 37582, 36509, 35601, 34844, 34618, 34500, 34269, 34935, 35082, 
52, 40841, 32117, 31181, 31171, 31205, 31313, 31262, 30183, 30658, 37882, 
53, 37860, 36343, 36149, 35507, 34889, 34889, 34745, 33876, 34377, 34038, 
54, 36896, 36041, 36145, 35786, 33723, 33646, 33432, 33282, 32881, 32785, 
55, 36112, 36134, 35339, 34742, 34517, 34548, 34267, 33224, 33353, 33641, 
56, 38300, 34470, 33475, 33559, 33384, 33244, 33098, 33126, 33071, 33029, 
57, 41962, 38036, 35836, 34537, 33708, 33294, 33201, 33178, 33209, 35501, 
58, 37881, 37176, 34971, 34098, 32789, 31831, 31852, 31787, 31847, 34693, 
59, 41999, 38659, 37920, 37472, 37207, 36990, 36449, 36280, 36376, 36439, 
60, 37769, 37222, 36381, 36196, 35916, 35480, 34864, 32830, 32745, 32425, 
61, 37864, 36773, 36607, 36581, 36376, 36039, 35665, 35422, 35345, 35200, 
62, 40634, 37044, 36664, 36018, 35437, 35058, 35093, 35133, 35087, 34539, 
63, 39573, 38681, 37859, 37723, 37850, 35729, 34723, 34991, 34509, 31897, 
64, 41928, 39274, 36657, 34494, 31636, 31712, 31681, 31792, 31971, 31924, 
