num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, 
1, 48432, 45734, 44763, 44703, 44675, 46152, 47681, 48542, 48865, 44584, 
2, 83759, 74038, 73374, 75296, 78750, 82742, 82723, 79848, 79288, 79712, 
3, 91151, 88288, 87711, 87728, 87793, 92671, 90566, 90752, 90781, 91087, 
4, 92532, 91238, 91345, 89486, 88245, 87809, 86925, 83553, 91845, 91246, 
5, 98170, 94961, 79774, 78798, 94693, 93914, 91905, 92916, 92886, 92359, 
6, 93051, 90415, 92418, 93491, 91703, 93731, 93783, 92054, 91732, 91941, 
7, 98383, 91366, 94469, 93630, 93599, 93370, 91869, 93188, 93323, 92420, 
8, 94766, 93383, 92870, 92953, 90766, 90592, 90640, 90604, 90533, 90640, 
9, 95951, 93308, 92421, 92370, 92670, 92612, 94124, 87024, 86946, 87586, 
10, 95433, 91770, 91290, 91280, 91150, 91240, 92610, 92490, 92139, 92561, 
11, 96719, 93391, 93100, 92676, 92724, 93470, 94322, 94147, 93865, 93917, 
12, 80210, 82585, 79210, 78752, 78988, 78970, 78700, 79456, 90744, 92190, 
13, 93820, 89256, 88314, 88279, 88291, 88772, 88627, 87993, 87539, 88271, 
14, 92760, 91032, 90027, 89950, 90069, 89221, 90515, 90555, 90900, 91222, 
15, 94689, 92011, 92701, 91936, 92972, 92220, 92491, 92897, 92832, 92831, 
16, 96950, 95264, 94396, 92760, 92840, 92700, 92660, 93171, 92989, 93190, 
17, 92896, 91504, 91390, 90230, 90430, 90169, 89681, 91070, 91039, 91698, 
18, 98048, 94348, 94550, 93564, 90709, 89261, 89099, 90355, 89655, 90080, 
19, 100330, 96050, 96710, 95660, 96050, 95472, 95638, 94314, 95876, 95620, 
20, 96270, 92340, 87951, 86148, 87611, 87780, 86530, 86840, 87980, 87890, 
21, 96757, 92853, 90240, 89730, 89940, 89649, 89581, 88626, 90734, 90950, 
22, 93650, 86780, 86600, 84920, 85830, 86700, 86940, 85959, 87620, 86947, 
23, 93147, 92365, 90620, 91339, 91800, 91015, 91097, 91539, 90934, 91103, 
24, 95780, 94052, 93164, 92884, 92054, 91986, 92130, 92638, 93712, 90960, 
25, 97220, 94390, 93070, 88567, 87257, 92636, 92640, 93910, 93859, 94181, 
26, 100963, 95667, 94050, 93660, 94610, 94010, 93917, 93240, 92368, 94079, 
27, 96910, 92780, 92057, 91210, 87726, 93206, 93430, 93601, 92963, 94149, 
28, 96681, 91016, 89243, 88565, 88001, 88584, 88450, 88800, 88400, 89370, 
29, 94179, 94671, 94430, 92770, 91967, 91553, 91240, 91869, 91961, 92847, 
30, 100599, 97259, 97071, 95203, 93988, 93330, 93420, 93110, 92210, 93869, 
31, 97847, 93013, 92450, 93179, 93846, 93165, 92840, 93119, 92901, 93230, 
32, 93187, 89533, 89690, 90920, 85628, 84612, 83530, 88435, 87594, 88646, 
33, 104130, 96722, 92598, 89838, 88872, 88119, 88489, 88402, 88184, 88006, 
34, 94514, 93065, 93040, 93503, 91978, 87194, 91934, 92682, 91419, 90221, 
35, 93210, 90870, 92200, 92840, 89118, 87732, 88360, 88050, 87942, 87567, 
