num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, 
1, 51414, 44147, 45067, 45646, 45918, 44167, 45970, 46937, 48267, 46832, 
2, 63018, 58785, 56060, 54662, 61053, 61587, 64276, 52743, 49853, 59677, 
3, 71563, 70841, 74271, 72217, 74015, 68053, 62260, 65956, 62777, 63336, 
4, 71519, 67917, 67987, 68527, 68689, 63657, 60971, 61149, 62804, 66727, 
5, 63246, 61424, 61505, 61107, 62268, 63360, 63677, 63640, 63627, 64412, 
6, 72690, 70430, 71105, 69030, 68534, 66529, 67456, 68950, 68450, 69480, 
7, 72139, 67200, 68308, 66110, 67816, 65787, 69490, 68320, 66569, 69170, 
8, 75465, 68027, 64840, 61570, 60870, 61183, 65877, 65710, 65141, 67049, 
9, 72300, 66750, 58700, 63910, 63550, 63005, 65619, 65645, 66103, 67600, 
10, 70849, 68259, 63314, 66739, 65450, 65946, 64710, 61470, 63247, 64080, 
11, 67785, 58535, 59610, 58709, 59380, 59400, 59350, 59270, 60240, 59709, 
12, 73416, 60875, 59109, 59433, 59056, 58660, 60860, 60580, 61030, 61440, 
13, 70645, 62457, 62130, 61110, 61180, 60810, 60920, 61550, 61070, 60770, 
14, 69936, 60621, 60030, 58550, 58190, 58710, 58830, 60200, 59130, 60060, 
15, 65317, 59846, 56677, 56960, 59700, 59970, 59838, 60022, 61370, 61530, 
16, 65260, 61460, 60430, 64240, 62670, 62590, 62710, 62850, 61815, 62625, 
17, 69604, 64796, 63540, 63329, 63291, 61189, 59961, 61861, 62539, 62280, 
18, 63850, 61850, 57000, 64300, 63410, 64410, 63030, 61010, 61580, 62950, 
19, 68420, 60519, 60704, 62190, 62590, 62673, 62007, 62671, 63309, 64636, 
20, 68767, 65630, 65120, 63627, 58496, 58438, 58189, 57880, 57430, 57730, 
21, 71190, 63800, 58440, 58680, 62420, 60780, 60910, 60440, 62650, 63480, 
22, 72074, 65329, 62281, 61846, 66948, 67350, 66742, 67270, 65040, 64631, 
23, 62930, 61220, 60909, 59701, 58800, 59500, 59070, 59000, 59180, 59993, 
24, 67970, 65830, 65640, 65380, 64650, 66580, 66198, 66112, 66270, 66040, 
25, 69952, 68243, 67470, 65911, 62049, 61980, 62529, 61471, 61830, 64610, 
26, 69807, 67307, 66204, 65099, 63040, 63877, 62863, 64229, 64939, 64762, 
27, 69940, 64350, 63801, 63789, 65382, 65638, 65630, 64450, 63331, 63862, 
28, 73100, 70890, 68790, 65530, 64680, 62769, 63811, 62740, 63840, 66940, 
29, 72570, 64991, 63170, 62802, 62815, 62523, 62580, 62710, 60920, 63469, 
30, 70249, 66854, 64777, 64370, 64309, 65421, 63680, 61839, 62271, 62490, 
31, 71910, 62830, 60693, 53817, 52040, 61345, 63965, 63930, 63890, 66313, 
32, 65657, 64482, 64091, 63860, 62930, 62680, 62030, 61106, 61014, 59910, 
33, 69221, 65219, 63320, 63370, 63515, 64215, 64320, 65220, 64190, 64890, 
34, 69003, 66092, 65795, 65590, 64010, 63581, 63629, 62250, 59960, 60790, 
35, 71857, 59263, 54800, 54730, 55330, 55810, 55698, 53572, 53130, 53563, 
36, 67500, 58920, 58130, 58690, 60050, 59858, 57292, 56800, 56791, 56969, 
37, 64070, 59050, 57869, 57321, 56900, 56500, 55631, 55699, 57040, 57630, 
38, 60125, 56790, 56320, 55660, 56339, 57371, 57300, 56630, 56377, 57113, 
39, 67400, 63190, 63630, 61650, 61043, 61647, 60220, 63100, 63590, 63873, 
40, 67260, 57140, 56921, 56619, 56780, 55989, 55575, 54557, 55229, 55314, 
41, 67257, 62248, 60112, 58350, 59391, 57918, 56771, 57686, 58064, 57320, 
42, 67231, 60359, 60430, 55128, 52382, 53748, 55203, 63199, 64020, 64790, 
