num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 76762, 68081, 65139, 73558, 66732, 61784, 59837, 68368, 66099, 68088, 
2, 67450, 64182, 63468, 64425, 66750, 74400, 76542, 75633, 75675, 76250, 
3, 76528, 74228, 73372, 73800, 78142, 77636, 75397, 74650, 67225, 70375, 
4, 70600, 69176, 68774, 69693, 69507, 68350, 65375, 62200, 62300, 68475, 
5, 66025, 62075, 61350, 61450, 61525, 61378, 61222, 61150, 61100, 61500, 
6, 74877, 67673, 64425, 64750, 64275, 64450, 65725, 65773, 64652, 68375, 
7, 68275, 65100, 65075, 64949, 64701, 64175, 64950, 64575, 64725, 63650, 
8, 70950, 67006, 63130, 73789, 67207, 63093, 69775, 76775, 77175, 78740, 
9, 71680, 65100, 63300, 62250, 62650, 62775, 64117, 64082, 64151, 64275, 
10, 76282, 72868, 72825, 67425, 66350, 66350, 73407, 72504, 72539, 74878, 
11, 64867, 56200, 55200, 54625, 54400, 54359, 55341, 55253, 55322, 56800, 
12, 75452, 69148, 69250, 68950, 69700, 68500, 69225, 71100, 72475, 71658, 
13, 68966, 67475, 66987, 68338, 69250, 68800, 69900, 70000, 70400, 72150, 
14, 55307, 55068, 55025, 59202, 60123, 61950, 62041, 62205, 59554, 61225, 
15, 72452, 67523, 66350, 65175, 67525, 68600, 69775, 69842, 70908, 72075, 
16, 60525, 57500, 57700, 58450, 59150, 60125, 61150, 62258, 62278, 62514, 
17, 55307, 56468, 56250, 57225, 56225, 58555, 59128, 58250, 57217, 57500, 
18, 63055, 58496, 58968, 59250, 59035, 59825, 58916, 57959, 58125, 58125, 
19, 66425, 64975, 64725, 65375, 64901, 61224, 61192, 60658, 60550, 60157, 
20, 69045, 67462, 64139, 62455, 63924, 65225, 63100, 63397, 63728, 67868, 
21, 62180, 65525, 63725, 64150, 63200, 62800, 64150, 64022, 64403, 65900, 
22, 67916, 58370, 57064, 56275, 58050, 58750, 59600, 59982, 60568, 60100, 
23, 67750, 60500, 59400, 59319, 58956, 60050, 59537, 58974, 59064, 59100, 
24, 65375, 61900, 61750, 61450, 63647, 65303, 65600, 66575, 66150, 65475, 
25, 69900, 67569, 66334, 66597, 66124, 68826, 69652, 69523, 70850, 70500, 
26, 71753, 67197, 66215, 66260, 66350, 67497, 67328, 68775, 67500, 68050, 
27, 74882, 65418, 66500, 66162, 65488, 64925, 66425, 65400, 66600, 66800, 
28, 57859, 66486, 59289, 60394, 57406, 62575, 63000, 62975, 64244, 64482, 
29, 67575, 64265, 59656, 55303, 55873, 64728, 65600, 65623, 65352, 65962, 
30, 68300, 57795, 58202, 57731, 58197, 62594, 64631, 64225, 65100, 62559, 
31, 63550, 59850, 58872, 59128, 58700, 58268, 58532, 59950, 59825, 59875, 
32, 67075, 62250, 57950, 57400, 57675, 60350, 62225, 62000, 60975, 61950, 
33, 64675, 66400, 64800, 65763, 64787, 57625, 64150, 64775, 64375, 64350, 
34, 69000, 66350, 66350, 64541, 65109, 63875, 63725, 63725, 62306, 64294, 
35, 72978, 69325, 69988, 68337, 67225, 67801, 67749, 68300, 68250, 70157, 
36, 62934, 58157, 57025, 56950, 56450, 56525, 56650, 56116, 56151, 57468, 
37, 64527, 60948, 60652, 59735, 59540, 58625, 60353, 59097, 60550, 61500, 
38, 65194, 64144, 65462, 64475, 62493, 61207, 64275, 63700, 64900, 64727, 
39, 63142, 60383, 61250, 60925, 59100, 60975, 61425, 61450, 61250, 61275, 
40, 65875, 65382, 58143, 59550, 58570, 58955, 59650, 62799, 63101, 63300, 
41, 64975, 61225, 60898, 59002, 58550, 59150, 60450, 58675, 58925, 61275, 
42, 60525, 57240, 58460, 57325, 57166, 56834, 56600, 59625, 59800, 60580, 
43, 61751, 61524, 61650, 62416, 60134, 57575, 57200, 61775, 64425, 64500, 
44, 56941, 58784, 57523, 57527, 56425, 58925, 56425, 57777, 58423, 59325, 
45, 64750, 60100, 57800, 57834, 59741, 57975, 60175, 60103, 61322, 61050, 
46, 62675, 65350, 59903, 60162, 59135, 58925, 59075, 61650, 62050, 61850, 
47, 56650, 57553, 58322, 56575, 55925, 54773, 55452, 56350, 56275, 56200, 
48, 63292, 62983, 63800, 61750, 61575, 61235, 61415, 63975, 61531, 61544, 
49, 63050, 61750, 59200, 59342, 59448, 59535, 58800, 57550, 62950, 64950, 
