t1, t2, t3, t4, t5, t6, 
1595278216920693, 1595278216920728, 1595278216920730, 1595278216920734, 1595278216920767, 1595278216920810, 
1595278217921889, 1595278217921898, 1595278217921899, 1595278217921903, 1595278217921910, 1595278217921968, 
1595278218925986, 1595278218926006, 1595278218926007, 1595278218926011, 1595278218926028, 1595278218926088, 
1595278219930889, 1595278219930898, 1595278219930899, 1595278219930903, 1595278219930910, 1595278219930941, 
1595278220934370, 1595278220934379, 1595278220934380, 1595278220934384, 1595278220934391, 1595278220934423, 
1595278221937889, 1595278221937898, 1595278221937900, 1595278221937903, 1595278221937919, 1595278221937965, 
1595278222940275, 1595278222940287, 1595278222940289, 1595278222940295, 1595278222940303, 1595278222940336, 
1595278223945259, 1595278223945268, 1595278223945269, 1595278223945275, 1595278223945291, 1595278223945355, 
1595278224948503, 1595278224948523, 1595278224948524, 1595278224948528, 1595278224948545, 1595278224948595, 
1595278225952572, 1595278225952581, 1595278225952583, 1595278225952587, 1595278225952594, 1595278225952625, 
1595278226955619, 1595278226955628, 1595278226955629, 1595278226955647, 1595278226955654, 1595278226955713, 
1595278227958289, 1595278227958298, 1595278227958299, 1595278227958303, 1595278227958309, 1595278227958336, 
1595278228961671, 1595278228961689, 1595278228961690, 1595278228961694, 1595278228961701, 1595278228961749, 
1595278229963854, 1595278229963864, 1595278229963866, 1595278229963870, 1595278229963878, 1595278229963908, 
1595278230965869, 1595278230965878, 1595278230965879, 1595278230965883, 1595278230965890, 1595278230965918, 
1595278231970346, 1595278231970355, 1595278231970357, 1595278231970361, 1595278231970368, 1595278231970397, 
1595278232970919, 1595278232970929, 1595278232970931, 1595278232970936, 1595278232970944, 1595278232970970, 
1595278233973537, 1595278233973546, 1595278233973548, 1595278233973552, 1595278233973559, 1595278233973589, 
1595278234976850, 1595278234976860, 1595278234976862, 1595278234976866, 1595278234976873, 1595278234976904, 
1595278235979444, 1595278235979457, 1595278235979458, 1595278235979463, 1595278235979470, 1595278235979493, 
1595278236980118, 1595278236980138, 1595278236980140, 1595278236980144, 1595278236980151, 1595278236980195, 
1595278237981717, 1595278237981726, 1595278237981727, 1595278237981731, 1595278237981738, 1595278237981781, 
1595278238986675, 1595278238986683, 1595278238986684, 1595278238986688, 1595278238986696, 1595278238986726, 
1595278239990017, 1595278239990026, 1595278239990028, 1595278239990032, 1595278239990038, 1595278239990068, 
1595278240992689, 1595278240992697, 1595278240992699, 1595278240992702, 1595278240992719, 1595278240992776, 
1595278241995355, 1595278241995363, 1595278241995365, 1595278241995379, 1595278241995386, 1595278241995446, 
1595278242999220, 1595278242999229, 1595278242999230, 1595278242999235, 1595278242999241, 1595278242999284, 
1595278244002324, 1595278244002342, 1595278244002344, 1595278244002347, 1595278244002353, 1595278244002393, 
1595278245006955, 1595278245006963, 1595278245006964, 1595278245006968, 1595278245006975, 1595278245007002, 
1595278246009465, 1595278246009474, 1595278246009476, 1595278246009480, 1595278246009487, 1595278246009517, 
1595278247012453, 1595278247012462, 1595278247012464, 1595278247012468, 1595278247012474, 1595278247012505, 
1595278248015374, 1595278248015385, 1595278248015387, 1595278248015391, 1595278248015399, 1595278248015430, 
1595278249017896, 1595278249017904, 1595278249017906, 1595278249017910, 1595278249017917, 1595278249017943, 
1595278250019943, 1595278250019952, 1595278250019953, 1595278250019957, 1595278250019964, 1595278250019995, 
1595278251024545, 1595278251024554, 1595278251024555, 1595278251024559, 1595278251024566, 1595278251024604, 
1595278252025699, 1595278252025725, 1595278252025726, 1595278252025730, 1595278252025738, 1595278252025767, 
1595278253030043, 1595278253030053, 1595278253030054, 1595278253030058, 1595278253030066, 1595278253030095, 
1595278254030482, 1595278254030490, 1595278254030491, 1595278254030495, 1595278254030501, 1595278254030528, 
1595278255033373, 1595278255033384, 1595278255033386, 1595278255033390, 1595278255033398, 1595278255033429, 
1595278256037145, 1595278256037153, 1595278256037155, 1595278256037158, 1595278256037165, 1595278256037193, 
1595278257042193, 1595278257042214, 1595278257042215, 1595278257042220, 1595278257042227, 1595278257042267, 
1595278258045356, 1595278258045368, 1595278258045370, 1595278258045375, 1595278258045384, 1595278258045414, 
1595278259048945, 1595278259048954, 1595278259048956, 1595278259048960, 1595278259048967, 1595278259048993, 
1595278260051589, 1595278260051598, 1595278260051600, 1595278260051604, 1595278260051610, 1595278260051639, 
1595278261052390, 1595278261052401, 1595278261052402, 1595278261052407, 1595278261052413, 1595278261052444, 
1595278262054156, 1595278262054165, 1595278262054166, 1595278262054170, 1595278262054176, 1595278262054232, 
1595278263058585, 1595278263058595, 1595278263058597, 1595278263058601, 1595278263058610, 1595278263058645, 
