t1, t2, t3, t4, t5
1595357073905260, 1595357073905286, 1595357073905326, 1595357073905340, 1595357073905357, 
1595357074908998, 1595357074909023, 1595357074909060, 1595357074909082, 1595357074909089, 
1595357075909831, 1595357075909844, 1595357075909857, 1595357075909872, 1595357075909879, 
1595357076914904, 1595357076914926, 1595357076914952, 1595357076914975, 1595357076914981, 
1595357077917408, 1595357077917423, 1595357077917441, 1595357077917454, 1595357077917460, 
1595357078919261, 1595357078919274, 1595357078919290, 1595357078919313, 1595357078919319, 
1595357079924215, 1595357079924239, 1595357079924251, 1595357079924275, 1595357079924281, 
1595357080926533, 1595357080926557, 1595357080926595, 1595357080926618, 1595357080926635, 
1595357081928714, 1595357081928739, 1595357081928775, 1595357081928799, 1595357081928818, 
1595357082928685, 1595357082928696, 1595357082928707, 1595357082928731, 1595357082928737, 
1595357083933746, 1595357083933784, 1595357083933820, 1595357083933845, 1595357083933864, 
1595357084938561, 1595357084938584, 1595357084938622, 1595357084938644, 1595357084938662, 
1595357085941405, 1595357085941417, 1595357085941443, 1595357085941467, 1595357085941484, 
1595357086943970, 1595357086943987, 1595357086944004, 1595357086944031, 1595357086944041, 
1595357087947986, 1595357087948003, 1595357087948017, 1595357087948031, 1595357087948045, 
1595357088949746, 1595357088949761, 1595357088949777, 1595357088949789, 1595357088949798, 
1595357089951122, 1595357089951136, 1595357089951171, 1595357089951184, 1595357089951190, 
1595357090952333, 1595357090952358, 1595357090952384, 1595357090952397, 1595357090952403, 
1595357091953574, 1595357091953588, 1595357091953606, 1595357091953620, 1595357091953626, 
1595357092954851, 1595357092954867, 1595357092954885, 1595357092954899, 1595357092954906, 
1595357093955627, 1595357093955642, 1595357093955660, 1595357093955672, 1595357093955679, 
1595357094957444, 1595357094957468, 1595357094957492, 1595357094957517, 1595357094957534, 
1595357095959206, 1595357095959223, 1595357095959237, 1595357095959253, 1595357095959260, 
1595357096959971, 1595357096959984, 1595357096960020, 1595357096960054, 1595357096960060, 
1595357097963686, 1595357097963709, 1595357097963721, 1595357097963735, 1595357097963742, 
1595357098964439, 1595357098964463, 1595357098964500, 1595357098964523, 1595357098964542, 
1595357099967793, 1595357099967817, 1595357099967842, 1595357099967865, 1595357099967880, 
1595357100970804, 1595357100970817, 1595357100970856, 1595357100970881, 1595357100970899, 
1595357101975715, 1595357101975765, 1595357101975797, 1595357101975811, 1595357101975827, 
1595357102980722, 1595357102980735, 1595357102980771, 1595357102980784, 1595357102980790, 
1595357103982215, 1595357103982229, 1595357103982241, 1595357103982257, 1595357103982263, 
1595357104987264, 1595357104987278, 1595357104987291, 1595357104987305, 1595357104987321, 
1595357105988683, 1595357105988707, 1595357105988734, 1595357105988748, 1595357105988754, 
1595357106991120, 1595357106991131, 1595357106991156, 1595357106991180, 1595357106991196, 
1595357107991915, 1595357107991954, 1595357107991969, 1595357107991991, 1595357107991997, 
1595357108995107, 1595357108995120, 1595357108995157, 1595357108995170, 1595357108995187, 
1595357109996236, 1595357109996262, 1595357109996300, 1595357109996323, 1595357109996329, 
1595357110996602, 1595357110996617, 1595357110996655, 1595357110996668, 1595357110996675, 
1595357111997789, 1595357111997802, 1595357111997816, 1595357111997829, 1595357111997846, 
1595357113002798, 1595357113002811, 1595357113002823, 1595357113002841, 1595357113002848, 
1595357114003246, 1595357114003285, 1595357114003321, 1595357114003345, 1595357114003364, 
1595357115003295, 1595357115003308, 1595357115003335, 1595357115003357, 1595357115003363, 
1595357116005021, 1595357116005045, 1595357116005083, 1595357116005107, 1595357116005123, 
1595357117007604, 1595357117007620, 1595357117007638, 1595357117007651, 1595357117007657, 
1595357118009529, 1595357118009549, 1595357118009562, 1595357118009575, 1595357118009582, 
1595357119010040, 1595357119010062, 1595357119010084, 1595357119010101, 1595357119010117, 
1595357120015051, 1595357120015065, 1595357120015083, 1595357120015096, 1595357120015103, 
1595357121015105, 1595357121015142, 1595357121015160, 1595357121015176, 1595357121015184, 
1595357122017241, 1595357122017266, 1595357122017289, 1595357122017312, 1595357122017319, 
1595357123017259, 1595357123017288, 1595357123017303, 1595357123017336, 1595357123017346, 
1595357124019710, 1595357124019725, 1595357124019744, 1595357124019759, 1595357124019766, 
1595357125023384, 1595357125023407, 1595357125023433, 1595357125023449, 1595357125023455, 
1595357126028239, 1595357126028252, 1595357126028265, 1595357126028282, 1595357126028289, 
1595357127032182, 1595357127032199, 1595357127032221, 1595357127032244, 1595357127032260, 
1595357128036790, 1595357128036804, 1595357128036822, 1595357128036835, 1595357128036842, 
1595357129040554, 1595357129040571, 1595357129040585, 1595357129040609, 1595357129040615, 
1595357130043230, 1595357130043268, 1595357130043297, 1595357130043320, 1595357130043327, 
1595357131046440, 1595357131046464, 1595357131046489, 1595357131046505, 1595357131046511, 
1595357132046543, 1595357132046567, 1595357132046605, 1595357132046627, 1595357132046633, 
1595357133050081, 1595357133050106, 1595357133050145, 1595357133050158, 1595357133050164, 
1595357134050561, 1595357134050575, 1595357134050589, 1595357134050603, 1595357134050611, 
