num, actor, socket
0, 1595237841844459, 1595237841844548, 
1, 1595237842844588, 1595237842844692, 
2, 1595237843848797, 1595237843848889, 
3, 1595237844853306, 1595237844853438, 
4, 1595237845854579, 1595237845854644, 
5, 1595237846855992, 1595237846856104, 
6, 1595237847860100, 1595237847860166, 
7, 1595237848862556, 1595237848862612, 
8, 1595237849865410, 1595237849865476, 
9, 1595237850867546, 1595237850867667, 
10, 1595237851870711, 1595237851870769, 
11, 1595237852875003, 1595237852875067, 
12, 1595237853876892, 1595237853876957, 
13, 1595237854877374, 1595237854877491, 
14, 1595237855878725, 1595237855878822, 
15, 1595237856882380, 1595237856882456, 
16, 1595237857886570, 1595237857886650, 
17, 1595237858889212, 1595237858889278, 
18, 1595237859890979, 1595237859891044, 
19, 1595237860893176, 1595237860893251, 
20, 1595237861896372, 1595237861896437, 
21, 1595237862896402, 1595237862896470, 
22, 1595237863900879, 1595237863900943, 
23, 1595237864905913, 1595237864905977, 
24, 1595237865908601, 1595237865908671, 
25, 1595237866912222, 1595237866912348, 
26, 1595237867913049, 1595237867913129, 
27, 1595237868913583, 1595237868913698, 
28, 1595237869917215, 1595237869917296, 
29, 1595237870920735, 1595237870920799, 
30, 1595237871924048, 1595237871924113, 
31, 1595237872926016, 1595237872926081, 
32, 1595237873929924, 1595237873929986, 
33, 1595237874932336, 1595237874932404, 
34, 1595237875936460, 1595237875936517, 
35, 1595237876940397, 1595237876940459, 
36, 1595237877941203, 1595237877941280, 
37, 1595237878942025, 1595237878942094, 
38, 1595237879946693, 1595237879946809, 
39, 1595237880946900, 1595237880947020, 
40, 1595237881947807, 1595237881947891, 
41, 1595237882949861, 1595237882949955, 
42, 1595237883952208, 1595237883952320, 
43, 1595237884957277, 1595237884957367, 
44, 1595237885958873, 1595237885958935, 
45, 1595237886960750, 1595237886960817, 
46, 1595237887961239, 1595237887961367, 
47, 1595237888961968, 1595237888962088, 
48, 1595237889966900, 1595237889966961, 
49, 1595237890970325, 1595237890970384, 
50, 1595237891973550, 1595237891973618, 
51, 1595237892973661, 1595237892973763, 
52, 1595237893973783, 1595237893973875, 
53, 1595237894976584, 1595237894976656, 
54, 1595237895977577, 1595237895977658, 
55, 1595237896979571, 1595237896979634, 
56, 1595237897983556, 1595237897983665, 
57, 1595237898985776, 1595237898985864, 
58, 1595237899988531, 1595237899988652, 
59, 1595237900992248, 1595237900992310, 
60, 1595237901994203, 1595237901994271,
