num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60, 
1, 13036308, 12932239, 13200878, 13180662, 13032991, 13219753, 13137664, 13059233, 13012745, 12964968, 12936619, 12942242, 12930885, 12943214, 12999919, 12957506, 12952664, 13098913, 13119912, 13092712, 13077555, 12941908, 12961080, 13091158, 13075093, 13043545, 13208338, 12975730, 12955234, 12884568, 12878174, 12932288, 12938956, 12907213, 12915569, 12988684, 12992012, 13011461, 12998429, 13039480, 12951271, 12975270, 12999741, 12965880, 13084679, 13023402, 12976687, 12894446, 12983163, 12998517, 12958014, 13003012, 13011580, 12934382, 12867423, 12883803, 12888064, 13110848, 13014053, 13249572, 
2, 20588534, 20982420, 20984840, 20939198, 20424024, 20366655, 20396712, 20352418, 20352115, 21068372, 21189697, 21147423, 21174242, 21171589, 21060679, 21109239, 21132647, 21089581, 21083034, 21124975, 21116719, 21131174, 21114381, 20994209, 21072244, 21127584, 21123201, 21111637, 21137477, 21059400, 21114793, 21163508, 21054945, 21079890, 21108818, 21129907, 21117288, 21175366, 21072141, 21078187, 21052555, 21112155, 21158517, 21128822, 21102869, 21048918, 21148120, 21145822, 21268437, 20971566, 21132948, 21041263, 21103315, 21218193, 21162514, 21182272, 21160051, 21153354, 21205853, 21231980, 
3, 20552534, 20813373, 21342042, 20802700, 20858457, 20675335, 20745468, 20637394, 20689517, 20738354, 20693086, 20629562, 20642892, 20668791, 20750509, 20727313, 20803647, 20787832, 20849836, 20893463, 20908978, 20875941, 20845157, 20560154, 20681381, 20554915, 20691271, 20695229, 20795491, 20893932, 20897724, 20817185, 20771369, 20867262, 20714402, 20795493, 20973328, 20934052, 20985255, 20916380, 20882884, 20858763, 20837894, 20762048, 20681079, 20832468, 20867782, 20924017, 20897651, 20913850, 21102250, 20852477, 20955475, 20906129, 20803476, 20689099, 20761336, 20863511, 20947131, 20956741, 
4, 20141396, 19998673, 20125232, 20021128, 20164876, 20077911, 19775620, 19513666, 19830715, 19541622, 19646719, 19813914, 19634561, 19716570, 19820489, 19804285, 19814771, 19833884, 20075467, 20029225, 19920756, 20134240, 20117767, 20223183, 20096541, 20164323, 20192391, 20088188, 20179237, 20163220, 19978608, 20210830, 20041370, 20156252, 19986865, 19982819, 20045792, 19926578, 19685846, 19884320, 20107052, 20089712, 20271322, 20335241, 20214192, 20189828, 20304186, 20141808, 20230013, 20204520, 20205000, 20167744, 20215524, 20214865, 20225861, 20301260, 20235458, 20213988, 20356481, 20384267, 
5, 19692901, 19574794, 20259946, 20242407, 20523542, 20468866, 20113075, 20208248, 20108153, 19989401, 20011615, 20231273, 19650649, 19743556, 19778552, 20222861, 19808573, 20175860, 20283632, 20398951, 20181711, 20452475, 20545944, 20489699, 20459815, 20773675, 20664620, 20723651, 20863957, 20830578, 20655731, 20731577, 20842838, 20466027, 20678026, 20611039, 20825712, 20307204, 20376990, 20671856, 20705394, 20662980, 20716417, 20514556, 20340310, 20439686, 20329064, 20638202, 20679165, 20804882, 20710444, 20627983, 20595303, 20840117, 20731566, 20550722, 20686465, 20560060, 20618365, 20671972, 
6, 20998388, 20080265, 20703001, 20244690, 20307546, 20521955, 20542499, 20224649, 20347861, 20291859, 20473042, 20556142, 20339714, 20240317, 20198352, 20314824, 20345641, 20419866, 20141993, 20501190, 20232009, 20417613, 20542744, 20312262, 20346061, 20512780, 20483214, 20368335, 20444267, 20336287, 20450784, 20255574, 20391197, 20531406, 20574946, 20466913, 20393998, 20519758, 20565157, 20373023, 20198760, 20505094, 20363437, 20435446, 20656300, 20308864, 20453695, 20516503, 20382412, 20429182, 20562503, 20485847, 20637121, 20537960, 20581825, 20369480, 20661916, 20228476, 20572189, 20642888, 
7, 19636488, 19332545, 19222858, 19443847, 19512277, 19697888, 19631128, 19367047, 19410818, 19446187, 19620832, 19424509, 19704064, 19579456, 19295753, 19470172, 19408558, 19235986, 19339464, 19258406, 19360992, 19215695, 19434552, 19557434, 19810617, 19449295, 19507852, 19573306, 19727512, 19467965, 19287252, 19432229, 19525299, 19278285, 19441369, 19488753, 19378156, 19464435, 19294859, 19714826, 19367615, 19375616, 19693892, 19382123, 19640102, 20114476, 19593677, 19597114, 19844866, 19593731, 19607118, 19551881, 19529094, 19718328, 19682334, 19821604, 19687153, 19531611, 19338107, 19537406, 
8, 19372543, 18907956, 18926788, 18651930, 19177373, 18901916, 19108570, 18923168, 18920098, 19109803, 18960145, 18605385, 19025111, 19242532, 18967781, 18789889, 18899156, 19104360, 18829308, 19121586, 19570798, 19507950, 19513587, 19448301, 19525107, 19404306, 19809502, 19553151, 19407273, 19532332, 19308253, 19758860, 19471756, 19633886, 19520336, 19407096, 19358171, 19751135, 19283593, 19704570, 19408604, 19426541, 19509962, 19553723, 19635069, 19240388, 19509671, 19653886, 19735940, 19299343, 19822603, 19574828, 19475120, 19401564, 19429377, 19658174, 19298482, 19488104, 19507249, 19645722, 
9, 20329629, 19804307, 20578037, 20767327, 20323578, 20377786, 20482465, 20191449, 20253765, 20359386, 20450435, 20429742, 20371152, 20433355, 20322622, 20282580, 20124578, 20461112, 20329947, 20351863, 20036976, 20019164, 20455982, 20337464, 20405620, 20632361, 20530632, 20539259, 20198577, 20585497, 20656497, 20605458, 20612327, 20786898, 20605506, 20525427, 20493100, 20707288, 20658696, 20616168, 20721953, 20751505, 20572801, 20594081, 20671705, 20420625, 20283279, 20275200, 20445956, 20396696, 20375977, 20314788, 20428529, 20635185, 20536441, 20585292, 20460350, 20340557, 20405521, 20324541, 
10, 19107273, 19122851, 19868324, 19297034, 19866449, 19794198, 19740054, 19797419, 19704904, 19515689, 19714954, 19638978, 19830269, 19706854, 19475735, 19797792, 19469577, 19985730, 19553380, 19527918, 19666316, 19801732, 19973429, 19445259, 19383637, 19682641, 19357624, 19506094, 19785599, 19821410, 19896348, 19713171, 19575915, 19418649, 19840547, 19797556, 19778699, 19969857, 19766756, 20267895, 19537348, 19710652, 19725897, 19549138, 19318910, 19691489, 19883354, 19705763, 19675270, 19355840, 19871629, 19509796, 19754499, 19593229, 19763464, 19805677, 20130523, 19657344, 19853339, 19408803, 
