num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 12951639, 13091754, 13042592, 13008387, 13067248, 12963921, 12913682, 12921973, 12847384, 12789218, 
2, 19998159, 20452852, 20542110, 20396809, 20384806, 20428594, 20373018, 20295098, 20538462, 20493893, 
3, 20089286, 19622766, 19622886, 19774663, 19994041, 20179106, 20170325, 20129547, 20104055, 20357882, 
4, 20448766, 20688671, 20411144, 20360087, 20030943, 19929248, 19964267, 19896420, 19819089, 19890725, 
5, 19765947, 20154768, 19967627, 20177050, 19943197, 20068612, 20253522, 20265412, 20118964, 20227766, 
6, 18697174, 19019695, 19040097, 19449148, 19221303, 19442095, 19262397, 19213432, 19208695, 19347393, 
7, 19021742, 19432978, 19245344, 19295227, 19895841, 19465892, 19441246, 19881455, 19396969, 19830905, 
8, 19956904, 19991035, 20332642, 20206987, 20220195, 19940176, 20534381, 20011899, 20388844, 20076007, 
9, 18809423, 18872925, 20029955, 19963482, 19972586, 19836041, 20023151, 19684930, 19673195, 19935224, 
10, 19031151, 19443022, 19157915, 19758169, 20059249, 19799148, 19732339, 19576322, 19668916, 19559774, 
11, 18636138, 19213534, 20061408, 20051974, 19392764, 19692728, 19684100, 19584646, 20092199, 19716537, 
12, 19351543, 18868105, 19472820, 20117305, 19863271, 20214983, 19704379, 19925382, 20252791, 19868279, 
13, 18682086, 18398008, 18726580, 18556564, 18650139, 18950199, 19382065, 19047374, 18470636, 17982989, 
14, 18497643, 19690576, 19792046, 20288844, 20145192, 19769654, 19706720, 19613771, 19641236, 19777007, 
15, 17527083, 18200504, 18831177, 19299079, 19203724, 19155896, 19237419, 19728866, 19436292, 19346416, 
16, 18425832, 19407356, 19433392, 20055165, 20083612, 19961986, 19969306, 20009268, 20118899, 19795567, 
17, 18857849, 18606040, 18427076, 19389361, 19287168, 19360483, 19851794, 19324873, 19364250, 19243548, 
18, 16777485, 17855163, 18953971, 18833868, 19469255, 19158479, 19339428, 19232861, 19206318, 19140737, 
19, 17596491, 19446016, 19444594, 19735257, 19798049, 20100380, 19831504, 19671364, 20271670, 19828036, 
20, 19083647, 19958430, 19554965, 19345227, 19612369, 19641346, 20285665, 20133449, 19575789, 19010845, 
21, 16556707, 18174750, 18305442, 18737401, 18918223, 18961270, 18623072, 18855607, 18965842, 18649587, 
22, 15872203, 18808382, 18848022, 19334255, 19491394, 19519600, 19387153, 19465005, 19700721, 19887146, 
23, 18392819, 19379062, 19083660, 18833156, 19165865, 19195431, 19325882, 18998870, 19487516, 19572942, 
24, 16763059, 18434005, 18306752, 18604358, 19182817, 19246422, 20258131, 18168049, 19808989, 19819950, 
25, 16062508, 19727526, 18534462, 18625025, 18957226, 19355525, 19478972, 19371556, 19843055, 19185289, 
26, 17283482, 19816912, 18939059, 18853280, 19049803, 19078811, 18924081, 19736342, 19084177, 19118799, 
27, 16987845, 18647546, 18986599, 18697457, 18763670, 18760348, 19038790, 19299385, 19384292, 19021624, 
28, 16022199, 20430071, 19215268, 20144983, 19061143, 20204113, 19340067, 20277057, 19861436, 19815308, 
29, 15037003, 19046437, 18171449, 19373990, 19463787, 18744681, 20451782, 19626865, 19478700, 19740799, 
