num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 14291484, 14537172, 14452786, 14078139, 14574441, 14570682, 14591440, 14570238, 14577769, 14598269, 
2, 25798671, 25795210, 25352367, 27143588, 27089819, 27101405, 27044255, 27042953, 27133418, 27089471, 
3, 31745332, 32371624, 32647825, 32697318, 32188849, 31475357, 31746863, 31555032, 31687575, 32581608, 
4, 31815369, 32130894, 31805236, 31942962, 31805280, 31634435, 31862130, 32042362, 32023235, 32158190, 
5, 30916122, 31291027, 31452219, 31715197, 31555565, 31832226, 31744656, 32172693, 32327050, 32177247, 
6, 31272072, 32393465, 32161459, 32342710, 32213059, 32292683, 32314803, 32343963, 32562485, 32616306, 
7, 31717858, 32101726, 30629281, 32327523, 32479842, 32121381, 31933221, 31999225, 32435176, 31978648, 
8, 30100885, 31437199, 31547627, 31247447, 31347462, 31261351, 31806194, 31884157, 31753160, 31893935, 
9, 30677827, 31492426, 31929157, 31281640, 31516023, 31951111, 31610679, 31703790, 31872438, 31901580, 
10, 31822721, 32486794, 32177422, 32291583, 32598377, 32654967, 32489523, 32866992, 32488895, 32608602,
11, 28456141, 30357302, 30614875, 30659752, 31342098, 31238362, 31142909, 30831691, 31343555, 31095915, 
12, 30781400, 31687321, 31496478, 31430453, 31654462, 32030253, 31877651, 31925789, 32029901, 31673286,
13, 30983174, 32159443, 31592019, 31854235, 31996015, 32357123, 32852801, 31976164, 32542116, 32135033,
14, 29116846, 31615171, 31449476, 31037573, 30905710, 31584197, 31480679, 31853008, 31634314, 31551928, 
15, 28072743, 31616901, 31097287, 31520885, 31371411, 31109965, 31532813, 32071341, 31543959, 31785267, 
16, 28630424, 31205986, 31461174, 31283148, 31640027, 31464614, 31605526, 31509399, 31715124, 31728395, 
17, 30321575, 31533815, 31761207, 31855310, 31618042, 31642329, 32074537, 32120175, 31941505, 31922467,
18, 28732020, 30752976, 30404699, 30758418, 30360106, 30453200, 30464627, 31233704, 31523119, 31121046, 
19, 28711989, 30859257, 29858602, 29945383, 29212941, 30610248, 30146545, 30127663, 30279741, 30425205, 
20, 28649339, 31683289, 32223623, 32325614, 31515394, 31554946, 31256585, 31392301, 32228838, 31977454, 
21, 28966009, 31371150, 31834136, 31931448, 32220393, 31599534, 32227481, 32400369, 32147883, 32523394, 
22, 29533245, 30943352, 31076847, 31463395, 31324470, 30368711, 31957168, 32002262, 31818266, 32031735,
23, 26767058, 30559998, 29777199, 30290283, 30018505, 30996232, 31317542, 31126752, 31019192, 31127794, 
24, 28573024, 30040666, 30641212, 30674447, 30805359, 29995884, 31211821, 31771412, 31610549, 31730984, 
25, 28333465, 31469636, 32206944, 32199083, 31820778, 32532699, 31839069, 31278137, 32745653, 32509574, 
26, 30099849, 31597581, 31795913, 32996384, 31958793, 29815069, 31714648, 31765565, 31587107, 30902289,
27, 29144228, 30015735, 31700096, 31688311, 30702545, 31403244, 31808208, 31150767, 31925251, 32310751,
28, 27104100, 29999921, 30619513, 30453212, 30376525, 29195495, 31327374, 31037845, 30661232, 30843019, 
29, 26532135, 29949463, 31082413, 31368571, 31079139, 30701428, 30528394, 31143723, 31336617, 31386997, 
30, 26041562, 30097636, 31202072, 31073384, 30884097, 30814495, 30551266, 30158863, 31362573, 31205571, 
31, 26011460, 29337107, 30164272, 30229048, 30365924, 30869554, 30537153, 30718805, 30688575, 30278138, 
32, 29952415, 31879820, 30907074, 31802966, 30518505, 30734913, 32290960, 32513841, 33106357, 32325679,
