num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 13204301, 13443782, 13493984, 13345595, 13190849, 13084965, 13455091, 13503826, 13374735, 13531091, 
2, 18730634, 19509567, 19246558, 19250106, 19711251, 19583072, 19312140, 19411509, 19531007, 19474833, 
3, 21214920, 20801261, 20288614, 20541843, 20822436, 20564690, 20851997, 20885554, 20609318, 20858840, 
4, 18687423, 19569675, 19540506, 19150344, 19396983, 19368138, 19171774, 19357649, 19479282, 19688179, 
5, 20077061, 19196491, 19322877, 19521797, 19395199, 19414868, 19407012, 19287189, 19637951, 19661391, 
6, 19151168, 19416128, 19601772, 19729099, 19563107, 19697800, 19444083, 19699685, 19612272, 19643345, 
7, 19691358, 19474200, 19592441, 19556466, 19448368, 19605278, 19719306, 19712304, 19921960, 19485810, 
8, 19695662, 19423964, 19772084, 20052937, 19910503, 19378477, 19397980, 19817077, 19619676, 19538532, 
9, 19388015, 19309992, 19898623, 20061931, 19880150, 20057133, 19968295, 20068127, 19764600, 19921293,
10, 18869457, 19020513, 19141570, 19273087, 19363165, 19620757, 19471109, 19564163, 19754544, 20232021, 
11, 18877365, 19007312, 19232049, 19276652, 19269699, 19216460, 19444848, 19253897, 19364622, 19409532,
12, 19276828, 19357197, 19333420, 19489541, 19781477, 19682138, 19513901, 19659451, 19481909, 19572259,
13, 19240074, 19308505, 19996061, 20101966, 19805630, 20322089, 19957762, 19390960, 20431573, 19453249,
14, 19214088, 19338823, 18697333, 19046679, 19437565, 19804743, 19352606, 19486875, 19321881, 19618172,
15, 18433620, 19064746, 19215994, 19763478, 19458249, 19911791, 19241669, 20005712, 19388158, 20110973, 
16, 18651141, 19202864, 19360466, 18789480, 19270361, 19343969, 19301584, 19125559, 19136412, 19192192, 
17, 18803019, 18574179, 18410058, 18650985, 18551240, 18463781, 18586640, 18650062, 18520125, 18513931, 
18, 18284086, 18505132, 18808658, 18560341, 18916813, 18997302, 18643108, 19223688, 18344971, 19443485, 
19, 19343511, 19582208, 19535244, 19370416, 19248962, 19606107, 19519867, 19574085, 19539319, 19582304, 
20, 19342946, 18803467, 18880313, 19441279, 19266330, 19440096, 18647412, 19245277, 18911648, 19513695,
21, 19923563, 19390396, 19303258, 20103901, 20119914, 19211800, 20172644, 20216837, 19195711, 19839928,
22, 17888277, 18296535, 18548501, 18231215, 18698678, 18755213, 19098573, 18927997, 19022185, 19232655,
23, 18199475, 18926858, 17927492, 18437952, 18912187, 19247410, 18595168, 18468248, 19057793, 19507458,
24, 18534133, 19045146, 18282355, 18608438, 18706447, 19327358, 19410010, 19131922, 19444190, 18978534, 
25, 17637597, 18427127, 18474970, 18021524, 18052424, 18145998, 18603064, 18711676, 18595310, 18675451, 
26, 19332379, 19365784, 18852603, 18923039, 18908030, 19248706, 19066520, 19746308, 19168558, 18980831,
27, 17365931, 17935936, 18055692, 18126388, 18027375, 17985016, 18113217, 18126543, 17937670, 17970429, 
28, 18039962, 18151345, 17423331, 17917110, 17894871, 17901110, 18442594, 17936566, 17963406, 17778319, 
29, 17768227, 17772311, 18250495, 18078216, 17759837, 18336348, 18062546, 18195758, 18915815, 18236311, 
30, 18036375, 19095428, 17890588, 17755001, 17422842, 18047954, 18457378, 18432795, 17408283, 18275232,
31, 17423736, 17575203, 17682786, 17820701, 18057822, 17857894, 18550471, 17697489, 18405972, 18091169, 
32, 18036375, 19095428, 17890588, 17755001, 17422842, 18047954, 18457378, 18432795, 17408283, 18275232,
33, 17325176, 18476189, 17297822, 18367203, 17128507, 18514785, 18016632, 18513435, 18902522, 18765937,
34, 18481955, 19633606, 19683634, 17948438, 16343664, 17802424, 18148386, 18522254, 19607207, 19752937,
35, 16807304, 17269950, 17466163, 17435077, 17265318, 17580370, 17414972, 17512331, 17776063, 18125158, 
36, 18198670, 18201166, 17282844, 17396080, 16734370, 17965497, 17434976, 17518419, 18305503, 17516996, 
37, 17482796, 17872284, 17143852, 17433743, 16994964, 17159866, 18222256, 17173855, 17227742, 18075837, 
38, 17606766, 18623762, 18693176, 18507993, 18120553, 19283993, 17632649, 18078490, 18316799, 18292441, 
39, 18627018, 18786217, 18588150, 17285403, 17853705, 17448155, 19001649, 17268272, 17668208, 17947220,
40, 17601712, 18503882, 16819469, 18867373, 15769882, 16316486, 19233276, 17702451, 17259944, 17327491,
41, 18645455, 19276355, 16302226, 17504139, 17032529, 16629926, 19947990, 17054961, 16850317, 18514100,
42, 18283872, 18911322, 17832192, 16532655, 16248119, 18669987, 18955009, 17308417, 18711140, 18039919,
43, 16839022, 17286116, 17286641, 17254514, 17118978, 17258009, 16976682, 16446657, 17639106, 17840570, 
44, 16427869, 17737315, 17770582, 16430321, 16580147, 17057284, 17529560, 17717099, 17495658, 17743440, 
45, 18697097, 18386471, 16247613, 16180271, 18040057, 17316496, 14622193, 19213232, 16274779, 17766763,
46, 16360802, 16791464, 17515709, 16515986, 16166638, 16818770, 17475193, 16664080, 18058932, 18032038, 
47, 17913317, 18167805, 17683156, 18088079, 17788050, 17375795, 17309813, 19073396, 16044595, 18504832, 
48, 16198175, 17130690, 16794621, 17205735, 15662943, 16214363, 16892085, 18126638, 15211763, 16629073, 
49, 17421413, 17132655, 16732696, 14672274, 17312807, 15499191, 15699581, 16627507, 17323387, 17569129,
50, 17776790, 16975602, 17686790, 17159683, 16275324, 17140208, 16825979, 17535556, 16778424, 16834339, 
51, 17715758, 17237031, 17514650, 16122376, 16839401, 16774005, 16227463, 16070815, 16599963, 16687575, 
52, 17217714, 17168993, 17123206, 15599281, 14523546, 18297322, 17171762, 15345155, 17158961, 15896986,
53, 17494171, 18220794, 14949758, 15920879, 16650669, 16932156, 12875880, 16997413, 20252999, 17105567,
54, 16954988, 17445397, 15876734, 15837764, 15760544, 16453991, 14426927, 15951914, 17379983, 17194919, 
55, 17572979, 16631622, 16960964, 17380436, 17077873, 15798613, 15742352, 15039128, 16361514, 15777602, 
56, 16322223, 17131644, 14324190, 16844219, 16912342, 15437918, 15649234, 16275108, 16465184, 16997794,
57, 17598228, 18130725, 17072294, 17609239, 15461645, 15832094, 15919474, 16484629, 17037511, 17689626, 
58, 15830480, 17464031, 16647119, 14410550, 15092671, 15544375, 18102398, 13607799, 17440362, 18739889,
59, 16236152, 16802774, 16497982, 16847018, 16939511, 16937149, 15678356, 15769305, 16436337, 15757751, 
60, 16737682, 17161893, 17294056, 16584060, 16500398, 15957348, 17149120, 14821208, 15112071, 18335740, 
61, 15111557, 16688667, 16640544, 15738890, 15872711, 16224398, 16379234, 15920691, 14498674, 15632546, 
62, 16769542, 16872401, 16571070, 16262067, 16390264, 15163432, 14445683, 16368479, 12285680, 16003814, 
63, 17517243, 17937993, 16793220, 17824741, 15269921, 16284314, 16982017, 16447675, 16487627, 15790116, 
64, 17192870, 18190407, 17901736, 16766162, 16365074, 14422988, 17142040, 14670115, 15899664, 17859739, 
