num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, 
1024, 175822, 144947, 148145, 146187, 208213, 133532, 143747, 212666, 175623, 205107, 
2048, 424561, 282532, 288828, 345253, 384322, 341513, 425469, 382521, 266610, 322669, 
4096, 768038, 838321, 822799, 834653, 674303, 828951, 663648, 840487, 613479, 817317, 
8192, 1657943, 1361186, 1667038, 1549147, 1696450, 1569436, 1642915, 1652181, 1319004, 1403857, 
16384, 3095297, 3348723, 3194964, 3169493, 2890720, 2647706, 2885289, 3214089, 2739259, 3168686, 
32768, 6214763, 5405704, 5296008, 6042496, 6326208, 5733010, 6107572, 6199692, 6338512, 6583880, 
65536, 11802432, 10520031, 11685934, 11515255, 13136671, 10544464, 10683744, 13232915, 12565254, 13241112, 
131072, 25144684, 25261112, 25643600, 25253859, 22194272, 24460584, 25970981, 23424275, 22347171, 24757420, 
262144, 43633576, 51355220, 47936448, 50842211, 45469253, 49255428, 52751930, 49143573, 49289078, 47283107, 
524288, 105312962, 94359266, 95507802, 96744179, 71477022, 94850991, 104281346, 94181996, 91879971, 101626506, 
