num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, 
1024, 158687, 143540, 178331, 191301, 179345, 166758, 166477, 126366, 190543, 140937, 
2048, 349337, 354173, 351046, 406552, 368620, 315223, 352400, 368730, 383625, 313338, 
4096, 557854, 576658, 652125, 726195, 599919, 665633, 692962, 797294, 612373, 668911, 
8192, 1347921, 1515247, 1221260, 1486064, 1238430, 1501189, 1643994, 1472722, 1500967, 1407835, 
16384, 2722773, 2606673, 2825389, 2473814, 2572309, 2564339, 2669287, 2808453, 2704721, 2924242, 
32768, 5548388, 4709827, 5392559, 4803872, 5201941, 5821781, 5092035, 5222241, 5147759, 5437259, 
65536, 10148849, 9619221, 9649860, 9337279, 10615356, 11814492, 10373302, 9899238, 9250487, 10281457, 
131072, 20346478, 21304524, 21280000, 23170051, 20630736, 20480411, 20401413, 21543796, 21290224, 20709721, 
262144, 38066432, 40285300, 39493834, 41379708, 38260921, 42992297, 42215782, 40715903, 42321083, 42649132, 
524288, 86220231, 78100254, 75910720, 75935632, 84739091, 89514377, 77305600, 83240724, 84000779, 83072948, 
