message_size, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, 
1, 96603, 96554, 95666, 93762, 94356, 96031, 95466, 94305, 96287, 93157, 95847, 94848, 94573, 95604, 94306, 95836, 95532, 96360, 95485, 93929, 95504, 94330, 94870, 94576, 96536, 97587, 95187, 95187, 93810, 93368, 94720, 93956, 94532, 98229, 98119, 97626, 95112, 95475, 93396, 93841, 95195, 95349, 93814, 96855, 96245, 97121, 96018, 97211, 94432, 95246, 94842, 
2, 96754, 98342, 98668, 97376, 100829, 99587, 97744, 107263, 98360, 97383, 98584, 97970, 96305, 98868, 97547, 98596, 101316, 97605, 101066, 98386, 96966, 100606, 100821, 100016, 96359, 99471, 97525, 100135, 96011, 95667, 100286, 96960, 98340, 98160, 97754, 99409, 98855, 99698, 97757, 97797, 99852, 98156, 98569, 100466, 99045, 97730, 96872, 97256, 97052, 97377, 99378, 
4, 104105, 102083, 106848, 102436, 103410, 101967, 103813, 105458, 103259, 103920, 102319, 104058, 106242, 104427, 104452, 102710, 104816, 110342, 103810, 104167, 103971, 102667, 102803, 104417, 103720, 102965, 105081, 103999, 103931, 104413, 102783, 103513, 103378, 103537, 105020, 103208, 104059, 107051, 106225, 103268, 102477, 104836, 103390, 104503, 102950, 104921, 101225, 105084, 105200, 108965, 103718, 
8, 113981, 112651, 182335, 114201, 113852, 113029, 111758, 114902, 112221, 112922, 111603, 111619, 170887, 111952, 112725, 114270, 111716, 113692, 112589, 110313, 111071, 112438, 111212, 113295, 111465, 114185, 111474, 112739, 112577, 111193, 115315, 112937, 112736, 112676, 113436, 111221, 112110, 111633, 112475, 114125, 113387, 113323, 111597, 115526, 110684, 113160, 112721, 112567, 113914, 111991, 115184, 
16, 127572, 124928, 128573, 125431, 125128, 127386, 127804, 127196, 126897, 127407, 125148, 127608, 127870, 125392, 125549, 130686, 126135, 126919, 126529, 125695, 126952, 125721, 126869, 127050, 128297, 127103, 127368, 126662, 129567, 124737, 129213, 126217, 126002, 126865, 125659, 128551, 127251, 126479, 127387, 128544, 127879, 126221, 128751, 126488, 126429, 127492, 126815, 127256, 127550, 126292, 124928, 
32, 150321, 152293, 153360, 152022, 154882, 152113, 152123, 148808, 153934, 154302, 153808, 154542, 153421, 154960, 156853, 152398, 154777, 152557, 152397, 152497, 152956, 153218, 154550, 152946, 151704, 154175, 152423, 149469, 153865, 158121, 152041, 150679, 154168, 152801, 152194, 153650, 151863, 153399, 150220, 153361, 154872, 151246, 149774, 152079, 152563, 154002, 153048, 153735, 152343, 152049, 151385, 
64, 205086, 199125, 203860, 198833, 198623, 198380, 198100, 202551, 202314, 203147, 199441, 196171, 200535, 198302, 201493, 200312, 198202, 202224, 199574, 199640, 199475, 197670, 198541, 201736, 201094, 196417, 200866, 197866, 200225, 200702, 203279, 200084, 196709, 203355, 195803, 198695, 204644, 198625, 200362, 200418, 198290, 200014, 198358, 200498, 197839, 197154, 202200, 200237, 200052, 196895, 197386, 
128, 290858, 289567, 291293, 309172, 298576, 290890, 288756, 291539, 287063, 288760, 289004, 290098, 292409, 291791, 288434, 291946, 290084, 292086, 287294, 291580, 289818, 293580, 301162, 288329, 293487, 291329, 290010, 292629, 286440, 292401, 298787, 300028, 302805, 291432, 294455, 291929, 292246, 294445, 290943, 290276, 298767, 297913, 301799, 288673, 291848, 293393, 288501, 296245, 288175, 290413, 293338, 
256, 475578, 474349, 472069, 468982, 475164, 471497, 471606, 465471, 471299, 471775, 476908, 475810, 473763, 474035, 470188, 480069, 470840, 474322, 484201, 472283, 476926, 469617, 487866, 489497, 469921, 458227, 506560, 474125, 460671, 494297, 468248, 469033, 474703, 473039, 475108, 476289, 498857, 492698, 469876, 478985, 471438, 474531, 470297, 473631, 493931, 471092, 471478, 474947, 494941, 469965, 498778, 
512, 834961, 837577, 833932, 893356, 813222, 847123, 836413, 836864, 834781, 834292, 841339, 832618, 828564, 860697, 830879, 828658, 841549, 828565, 840401, 834839, 833027, 830914, 857374, 852458, 836479, 860051, 832490, 880694, 833763, 840963, 882956, 832307, 904339, 826330, 846152, 835573, 846117, 842475, 854768, 884708, 828500, 823073, 857274, 827189, 833217, 838881, 843390, 843555, 838066, 843681, 829221, 
