num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 134127, 133858, 116793, 114630, 110702, 103930, 109190, 112421, 120350, 119120, 
2, 197452, 197648, 213255, 212216, 200217, 197019, 223754, 232702, 239076, 227186, 
3, 280201, 265212, 266986, 263650, 272692, 248024, 239356, 276967, 256717, 232405, 
4, 204987, 248917, 239811, 250367, 243066, 240559, 237690, 237142, 248056, 245030, 
5, 209345, 222641, 210342, 215367, 212707, 210514, 212069, 215874, 211805, 215245, 
6, 145263, 188666, 201897, 211923, 200108, 190677, 197930, 198934, 208707, 207873, 
7, 142718, 135517, 145896, 122460, 110415, 113957, 124014, 126651, 132436, 129398, 
8, 111197, 111832, 120360, 111729, 121099, 127375, 127905, 129245, 120611, 126941, 
9, 107145, 133661, 132738, 137177, 135380, 126040, 137557, 131364, 135150, 125129, 
10, 119892, 138725, 142359, 138149, 142964, 145338, 133300, 125027, 136555, 132746, 
11, 125779, 143199, 133352, 138369, 136623, 142893, 142905, 135493, 139592, 141969, 
12, 117454, 140398, 142376, 136063, 149976, 150280, 142844, 135795, 151389, 145713, 
13, 141113, 148627, 147940, 150576, 154390, 150364, 149886, 148074, 142985, 138725, 
14, 146890, 152140, 151592, 141532, 151113, 148466, 147924, 149256, 143101, 143838, 
15, 149359, 147048, 149926, 151399, 153130, 147524, 154212, 153521, 151900, 153987, 
16, 151143, 155348, 162120, 163300, 150883, 158362, 168695, 158107, 156897, 161286, 
17, 153767, 164817, 148694, 170939, 151133, 170886, 155364, 122805, 161739, 151861, 
18, 146750, 121192, 152261, 146688, 146331, 151452, 152365, 178743, 145895, 162969, 
19, 166821, 174521, 171211, 182291, 166575, 161026, 179260, 171754, 184821, 174236, 
20, 153010, 177584, 177883, 183980, 176013, 196100, 182481, 161776, 186174, 176852, 
21, 160515, 174209, 193970, 177217, 189895, 187790, 189336, 193795, 170549, 175955, 
22, 167642, 196054, 163390, 183317, 157397, 189043, 191327, 200879, 196762, 189466, 
23, 171562, 190038, 198273, 202824, 211299, 200744, 202141, 188315, 190450, 192428, 
24, 173035, 192437, 190785, 197813, 199915, 196570, 201623, 202341, 201137, 195196, 
25, 168267, 198290, 210617, 209213, 189818, 206697, 207821, 213159, 213032, 210734, 
26, 164652, 194372, 200882, 213138, 206369, 222617, 211030, 194319, 196159, 205589, 
27, 174571, 200652, 201120, 213289, 215496, 199473, 202618, 210775, 207544, 191153, 
28, 180585, 206041, 206815, 209192, 204249, 201163, 218665, 207415, 210215, 197915, 
29, 149409, 191578, 187307, 185995, 176053, 181255, 192627, 197887, 198871, 203204, 
30, 177954, 185619, 205626, 211366, 210208, 201595, 206422, 193648, 209292, 199530, 
31, 170714, 191624, 195366, 202257, 203628, 208822, 211083, 208388, 211400, 210688, 
32, 170426, 195813, 195176, 198820, 200878, 197046, 193303, 192120, 189049, 184631, 
33, 189490, 191780, 212387, 209854, 210930, 194107, 203612, 209410, 207230, 215515, 
34, 189001, 204323, 201855, 197932, 196297, 184034, 199971, 202846, 200899, 195661, 
35, 168734, 201885, 209259, 204432, 204928, 201804, 215119, 199306, 197988, 211096, 
36, 154510, 182568, 173307, 181997, 181801, 179073, 174811, 183636, 170762, 168945, 
37, 181552, 184667, 193707, 192351, 197470, 189138, 199726, 204175, 191055, 189424, 
38, 148110, 187708, 198021, 212768, 206606, 189599, 194168, 185415, 186992, 189672, 
39, 157693, 163461, 165616, 147963, 179751, 191906, 172885, 165900, 152307, 184911, 
40, 176045, 181184, 174893, 189163, 199598, 197455, 197275, 200651, 194660, 190910, 
41, 149393, 176871, 189944, 176869, 180416, 170480, 148281, 155036, 158465, 175346, 
42, 175771, 186249, 176331, 199352, 187581, 199910, 191501, 188161, 179625, 181152, 
43, 166706, 184451, 181029, 176086, 171636, 184338, 149215, 140016, 155194, 154491, 
44, 131680, 161140, 177020, 191007, 176482, 173136, 177525, 183152, 176069, 174958, 
45, 157643, 151963, 154886, 159187, 183489, 156365, 137391, 144371, 166674, 139263, 
46, 156567, 175489, 182967, 175450, 165316, 155329, 175275, 175884, 168398, 162444, 
47, 123082, 169265, 158382, 152360, 171539, 153544, 144205, 129732, 153483, 150548, 
48, 150228, 178284, 178275, 165041, 156396, 150032, 167310, 162228, 163200, 166078, 
49, 139755, 166344, 147315, 128933, 154277, 152645, 150536, 161703, 163306, 137574, 
50, 146228, 154877, 152213, 160861, 146432, 153872, 144340, 132765, 138094, 130508, 
51, 130009, 141052, 142515, 147192, 150567, 154520, 143089, 142158, 145867, 157428, 
52, 158198, 150630, 147289, 146451, 147199, 151982, 168090, 154685, 154925, 153119, 
53, 119787, 119486, 125416, 129867, 138990, 126397, 146815, 144885, 144555, 132155, 
54, 107093, 131609, 123147, 126132, 145641, 139374, 153017, 153949, 144536, 144574, 
55, 150820, 156032, 157015, 151321, 132903, 120327, 133642, 131437, 131581, 139283, 
56, 139427, 142157, 142572, 137511, 144099, 146217, 140053, 159152, 148214, 136550, 
57, 137138, 117280, 119459, 113465, 119046, 111868, 125027, 137729, 132351, 128417, 
58, 120194, 114210, 125376, 119364, 119863, 111538, 124375, 122225, 136831, 148653, 
59, 124306, 120074, 128178, 125884, 128413, 146217, 144834, 133018, 142285, 139990, 
60, 120563, 115561, 127391, 125185, 119113, 116511, 134218, 133601, 131281, 135736, 
61, 124917, 113151, 123143, 128004, 134129, 132386, 124899, 142561, 144239, 134592, 
62, 122293, 115431, 126762, 123760, 130676, 128797, 126684, 128862, 139413, 132624, 
63, 116182, 110636, 119478, 105252, 112325, 115084, 115965, 121945, 116196, 106380, 
64, 119815, 114534, 115948, 107955, 98904, 104599, 103938, 108499, 108258, 104211, 
